"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Spring Lane Surgery, Radcliffe</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a class=\"skip-link screen-reader-text\" href=\"#content\">Skip to content</a>","#page > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"skip-link screen-reader-text\" href=\"#content\">Skip to content</a>","#page > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/\" rel=\"home\">\n\t\t\t\t\t\t\t<img src=\"http://spring...</a>","#masthead > div > div > div:nth-child(1) > h1 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://springlanesurgery.co.uk//wp-content/uploads/2018/07/TFHC_SpringLane.png\" alt=\"Spring Lane Surgery\">","#masthead > div > div > div:nth-child(1) > h1 > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://springlanesurgery.co.uk//wp-content/uploads/2018/07/TFHC_SpringLane.png\" alt=\"Spring Lane Surgery\">","#masthead > div > div > div:nth-child(1) > h1 > a > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","error","<p align=\"center\">Spring Lane Surgery<br>\nRadclif...</p>","#black-studio-tinymce-10 > div > p:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<p style=\"text-align: center;\"><strong>TEL: 0161 724 6938</str...</p>","#black-studio-tinymce-10 > div > p:nth-child(2)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"menu-toggle\" aria-controls=\"menu\" aria-expanded=\"false\">Menu</button>","#site-navigation > button"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.95:1. Recommendation: change background to #595959.","error","<a href=\"http://springlanesurgery.co.uk/\" aria-current=\"page\">Home</a>","#menu-item-72 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/\" aria-current=\"page\">Home</a>","#menu-item-72 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.78:1. Recommendation: change background to #595959.","error","<a href=\"http://springlanesurgery.co.uk/about/\">About</a>","#menu-item-73 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/about/\">About</a>","#menu-item-73 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/about/our-surgery/\">Our Surgery</a>","#menu-item-76 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/about/the-team/\">The Team</a>","#menu-item-78 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.78:1. Recommendation: change background to #595959.","error","<a href=\"http://springlanesurgery.co.uk/information/\">Information</a>","#menu-item-74 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/information/\">Information</a>","#menu-item-74 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/about/surgery-times/\">Surgery Times</a>","#menu-item-77 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/information/new-patients/\">New Patients</a>","#menu-item-75 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://springlanesurgery.co.uk/information/home-visits/\">Home Visits</a>","#menu-item-83 > a"
