"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Moulton Surgery | GP Surgery in...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/\" title=\"Moulton Surgery\" rel=\"home\"><h1 class=\"site-title\"><strong>...</a>","#header > span > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"https://www.facebook.com/moultonsurgerynorthamptonshire?fref=ts\" target=\"_blank\"><i class=\"icon-facebook\"></i></a>","#social_media > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.facebook.com/moultonsurgerynorthamptonshire?fref=ts\" target=\"_blank\"><i class=\"icon-facebook\"></i></a>","#social_media > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"https://www.facebook.com/moultonsurgerynorthamptonshire?fref=ts\" target=\"_blank\"><i class=\"icon-facebook\"></i></a>","#social_media > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"https://translateth.is/\" class=\"translate-this-button\">Translate This</a>","#translate-this > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://translateth.is/\" class=\"translate-this-button\">Translate This</a>","#translate-this > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","error","<form role=\"search\" method=\"get\" class=\"search-form\" action=\"/\">\n\t\t\t\t\t\t\t<label>\n\t\t\t\t\t\t\t\t<input ...</form>","#moulton_search > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form role=\"search\" method=\"get\" class=\"search-form\" action=\"/\">\n\t\t\t\t\t\t\t<label>\n\t\t\t\t\t\t\t\t<input ...</form>","#moulton_search > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form role=\"search\" method=\"get\" class=\"search-form\" action=\"/\">\n\t\t\t\t\t\t\t<label>\n\t\t\t\t\t\t\t\t<input ...</form>","#moulton_search > form"
