"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Towcester Medical Centre</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html class=\" js rgba multiplebgs backgroundsize borderradius boxshadow textshadow cssgradients fontface js rgba multiplebgs backgroundsize borderradius boxshadow textshadow cssgradients fontface js\" style=\"\"><!--<![endif]--><head>\n<meta ht...</html>","html"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"https://www.towcestermedicalcentre.co.uk/wp-content/themes/GPWS%202013%20-%20Layout%202%20-%205312/gfx/logo.png\" style=\"height:100px; margin-top:15px;\" width=\"220px\">","#container > header > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.towcestermedicalcentre.co.uk/wp-content/themes/GPWS%202013%20-%20Layout%202%20-%205312/gfx/logo.png\" style=\"height:100px; margin-top:15px;\" width=\"220px\">","#container > header > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","warning","<a href=\"https://www.towcestermedicalcentre.co.uk\">Towcester Medical Centre</a>","#container > header > h1 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.towcestermedicalcentre.co.uk\">Towcester Medical Centre</a>","#container > header > h1 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","warning","<div class=\"tagline\">High Quality Care in a Family F...</div>","#container > header > div"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"https://www.towcestermedicalcentre.co.uk/wp-content/themes/GPWS%202013%20-%20Layout%202%20-%205312/gfx/Aulerspury.png\" style=\"border-radius: 10px;width: 220px; right: 10px;position: absolute;top: 24px; height:100px;\">","#container > header > img:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.towcestermedicalcentre.co.uk/wp-content/themes/GPWS%202013%20-%20Layout%202%20-%205312/gfx/Aulerspury.png\" style=\"border-radius: 10px;width: 220px; right: 10px;position: absolute;top: 24px; height:100px;\">","#container > header > img:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","error","<div id=\"text-ticker\" align=\"center\">\n\t\t             \n            \t\t...</div>","#text-ticker"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.towcestermedicalcentre.co.uk/2019/05/24/do-you-want-a-free-quick-simple-two-way-communications-service-with-your-gp-practice-click-here/\">Do you want a FREE, QUICK &amp;...</a>","#js-news > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.towcestermedicalcentre.co.uk/2019/04/16/we-need-to-talk-to-you-about-our-workload-and-stuff-we-can-do-to-make-things-quicker-more-efficient-and-more-cost-effective-click/\">Hi Everyone, we need to talk to...</a>","#js-news > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.towcestermedicalcentre.co.uk/2019/01/25/hearing-aid-maintenance-drop-in-service-click-here-for-more/\">Hearing Aid Maintenance Drop in...</a>","#js-news > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.towcestermedicalcentre.co.uk/2019/01/23/want-to-avoid-queuing-holding-and-waiting-get-stuff-done-on-line-click-here-for-more/\">Want to avoid, queuing, holding...</a>","#js-news > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.towcestermedicalcentre.co.uk/2018/06/04/were-just-a-click-away-for-more-about-our-online-communication-service-click-here/\">We’re just a CLICK away – for m...</a>","#js-news > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.24:1. Recommendation: change text colour to #58006c.","error","<span>LATEST:</span>","#ticker-title > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"https://www.towcestermedicalcentre.co.uk/2019/05/24/do-you-want-a-free-quick-simple-two-way-communications-service-with-your-gp-practice-click-here/\">Do you want a FREE, QUICK &amp;...</a>","#ticker-content > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.towcestermedicalcentre.co.uk/2019/05/24/do-you-want-a-free-quick-simple-two-way-communications-service-with-your-gp-practice-click-here/\">Do you want a FREE, QUICK &amp;...</a>","#ticker-content > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","error","<div class=\"links-widget\" align=\"center\" style=\"text-align: center;\">\n\t<a class=\"appoint\" href=\"http...</div>","#text-ticker > div:nth-child(3) > div"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div class=\"links-widget\" align=\"center\" style=\"text-align: center;\">\n\t<a class=\"appoint\" href=\"http...</div>","#text-ticker > div:nth-child(3) > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a class=\"appoint\" href=\"http://www.gpwebsolutions-host.co.uk/5312/?p=979\">\n\t\t<img class=\"icon tick\" src=\"...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"appoint\" href=\"http://www.gpwebsolutions-host.co.uk/5312/?p=979\">\n\t\t<img class=\"icon tick\" src=\"...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"icon tick\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"icon tick\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a class=\"scripts\" href=\"http://www.gpwebsolutions-host.co.uk/5312/repeat-prescriptions-2/\"> \n               <img class=\"ic...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"scripts\" href=\"http://www.gpwebsolutions-host.co.uk/5312/repeat-prescriptions-2/\"> \n               <img class=\"ic...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"icon pres\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"icon pres\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a class=\"scr\" href=\"https://www.towcestermedicalcentre.co.uk/on-line-consultations/\">\n<img class=\"newicon rss\" src=\"...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"scr\" href=\"https://www.towcestermedicalcentre.co.uk/on-line-consultations/\">\n<img class=\"newicon rss\" src=\"...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"newicon rss\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(3) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"newicon rss\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(3) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a class=\"tests\" href=\"http://www.gpwebsolutions-host.co.uk/5312/how-to/\">\n\t\t<img class=\"newicon results\"...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"tests\" href=\"http://www.gpwebsolutions-host.co.uk/5312/how-to/\">\n\t\t<img class=\"newicon results\"...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"newicon results\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(4) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"newicon results\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(4) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a class=\"register\" href=\"http://www.gpwebsolutions-host.co.uk/5312/self-help/\">\n\t\t<img class=\"newicon registr\"...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"register\" href=\"http://www.gpwebsolutions-host.co.uk/5312/self-help/\">\n\t\t<img class=\"newicon registr\"...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(5)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"newicon registr\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(5) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"newicon registr\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(5) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a class=\"update\" href=\"http://www.gpwebsolutions-host.co.uk/5312/our-services/local-services/\">\n\t\t<img class=\"newicon updat\" s...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(6)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"update\" href=\"http://www.gpwebsolutions-host.co.uk/5312/our-services/local-services/\">\n\t\t<img class=\"newicon updat\" s...</a>","#text-ticker > div:nth-child(3) > div > a:nth-child(6)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"newicon updat\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(6) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"newicon updat\" src=\"http://www.gpwebsolutions-host.co.uk/custom_link_widget/px.gif\" alt=\"\">","#text-ticker > div:nth-child(3) > div > a:nth-child(6) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.03:1. Recommendation: change text colour to #45610a.","error","<a class=\"fontResizer_minus ct-font-resizer-minus\" href=\"#\" title=\"Decrease font size\" style=\"font-size: 0.7em; cursor: pointer;\">A</a>","#widgets > ul > li > ul > li > a:nth-child(1)"
