"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>The Dow Surgery</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":1.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:1.container"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img style=\"margin-top: 10px; padding-right:5px;\" src=\"http://www.gpwebsolutions-host.co.uk/9695/files/2013/11/Logo1.jpg\">","#logo2 > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img style=\"margin-top: 10px; padding-right:5px;\" src=\"http://www.gpwebsolutions-host.co.uk/9695/files/2013/11/Logo1.jpg\">","#logo2 > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.8:1. Recommendation: change text colour to #206dd9.","error","<a href=\"https://www.dowsurgery.co.uk/\" title=\"The Dow Surgery\" rel=\"home\">     The Dow Surgery</a>","#logo > h1 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.dowsurgery.co.uk/\" title=\"The Dow Surgery\" rel=\"home\">     The Dow Surgery</a>","#logo > h1 > a"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"https://www.dowsurgery.co.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"https://www.dowsurgery.co.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"https://www.dowsurgery.co.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"https://www.dowsurgery.co.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"https://www.dowsurgery.co.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
