"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Drs Bilas - Home</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\"><head><meta http-equiv=\"Content...</html>","html"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div class=\"topnav\" id=\"myTopnav\"><a class=\"active\" href=\"http://...</div>","#myTopnav"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"active\" href=\"http://www.ourpractice.org.uk/index.html\">Home</a>","#myTopnav > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.patientaccess.com\">Online Services</a>","#myTopnav > a:nth-child(2)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"dropbtn\">Medical Services ▾</button>","#myTopnav > div:nth-child(3) > button"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div class=\"dropdown-content\"><a href=\"http://www.ourpractice...</div>","#myTopnav > div:nth-child(3) > div"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/medical_services.html\">Medical Services</a>","#myTopnav > div:nth-child(3) > div > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/repeat_prescriptions.html\">Repeat Prescriptions</a>","#myTopnav > div:nth-child(3) > div > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/appointments.html\">Appointments</a>","#myTopnav > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/minor_ailments.html\">Minor Ailments</a>","#myTopnav > a:nth-child(5)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"dropbtn\">More ▾</button>","#myTopnav > div:nth-child(6) > button"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div class=\"dropdown-content\"><a href=\"http://www.ourpractice...</div>","#myTopnav > div:nth-child(6) > div"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/staff.html\">Staff</a>","#myTopnav > div:nth-child(6) > div > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/faq.html\">Frequently Asked Questions</a>","#myTopnav > div:nth-child(6) > div > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/useful_links.html\">Useful Links</a>","#myTopnav > div:nth-child(6) > div > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/documents.html\">Documents</a>","#myTopnav > div:nth-child(6) > div > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/prg.html\">Patient Reference Group</a>","#myTopnav > div:nth-child(6) > div > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/patient_experience.html\">Patient Experience</a>","#myTopnav > div:nth-child(6) > div > a:nth-child(6)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.ourpractice.org.uk/news.html\">Practice News</a>","#myTopnav > div:nth-child(6) > div > a:nth-child(7)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","error","<form action=\"http://www.google.co.uk/cse\" id=\"search\" method=\"get\"><input name=\"cx\" type=\"hidden\" ...</form>","#search"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"http://www.google.co.uk/cse\" id=\"search\" method=\"get\"><input name=\"cx\" type=\"hidden\" ...</form>","#search"
