"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Field Street Surgery - Shepshed</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html><head>\n        <title>Field Str...</html>","html"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table cell-padding=\"15px\" class=\"table1\"><tbody><tr><td class=\"logo\" val...</table>","html > body > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<td class=\"logo\" valign=\"top\" align=\"right\" width=\"100%\"><div class=\"header\">Shepshed He...</td>","html > body > table > tbody > tr:nth-child(1) > td"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<div class=\"header\">Shepshed Health Centre</div>","html > body > table > tbody > tr:nth-child(1) > td > div:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div class=\"details\">Field Street<br>\nShepshed, Loug...</div>","html > body > table > tbody > tr:nth-child(1) > td > div:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div class=\"contact\">Tel: 01509 601201<br>\n24 Hour L...</div>","html > body > table > tbody > tr:nth-child(1) > td > div:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table width=\"100%\"><tbody><tr><td valign=\"top\">\n<i...</table>","html > body > table > tbody > tr:nth-child(2) > td > table"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"images/fieldstreetsurgery.jpg\" alt=\"Field Street Surgery\" title=\"Field Street Surgery\">","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/fieldstreetsurgery.jpg\" alt=\"Field Street Surgery\" title=\"Field Street Surgery\">","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<a href=\"index.html\" style=\"background-color:#690D00;\"><font color=\"#ffffff\">Home Page...</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.html\" style=\"background-color:#690D00;\"><font color=\"#ffffff\">Home Page...</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font color=\"#ffffff\">Home Page</font>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > a > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<font color=\"#ffffff\">Home Page</font>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > a > font"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font color=\"#ffffff\">\n<a href=\"staff/\">The Practice ...</font>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<font color=\"#ffffff\">\n<a href=\"staff/\">The Practice ...</font>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"staff/\">The Practice Team</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"registration/\">How to Register with Us</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"appointments/routine.html\">Appointments/Home Visits</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"appointments/urgent.html\">Emergencies/Out of Hours</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"services/prescriptions.html\">Prescriptions</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"registration/notes.html\">Your Records</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(6)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"services/services.html\">Our Services &amp; Clinics</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(7)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"services/community.html\">Community Services</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(8)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"information/confidentiality.html\">Patient Confidentiality</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(9)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"information/parking.html\">Access and Car Parking</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(10)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"information/complaints.html\">Complaints</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(11)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"information/policy.html\">Surgery Policies</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(12)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"information/contacts.html\">Useful Information</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(13)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"services/othernhs.html\">Other NHS Services</a>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(14)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"information/feedback.html\" alt=\"Tell the Surgery directly what you think\" title=\"Tell the Surgery directly what you think\" onclick=\"javascript:void window.open('information/feedback.html','1427378130023','width=700,height=600,toolbar=0,menub...","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > div > div > font > a:nth-child(15)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font color=\"#ffffff\">\n<p>\n</p><table width=\"100%\" cl...</font>","html > body > table > tbody > tr:nth-child(2) > td > table > tbody > tr > td:nth-child(1) > font"
