"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Woden Road Surgery | Woden Road...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"http://www.wodenroadsurgery.nhs.uk/\" title=\"Woden Road Surgery\" rel=\"home\">Woden Road Surgery</a>","#blog-title > span > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wodenroadsurgery.nhs.uk/\" title=\"Woden Road Surgery\" rel=\"home\">Woden Road Surgery</a>","#blog-title > span > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div id=\"blog-description\">Woden Road - 01902 454242</div>","#blog-description"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#content\" title=\"Skip navigation to the content\">Skip to content</a>","#access > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wodenroadsurgery.nhs.uk/our-services/\">Our Services</a>","#menu-item-70 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wodenroadsurgery.nhs.uk/appointments/\">Appointments</a>","#menu-item-68 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wodenroadsurgery.nhs.uk/telephone-consultation/\">Telephone Advice</a>","#menu-item-73 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wodenroadsurgery.nhs.uk/repeat-prescriptions/\">Repeat Prescriptions</a>","#menu-item-71 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wodenroadsurgery.nhs.uk/home-visits/\">Home Visits</a>","#menu-item-69 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wodenroadsurgery.nhs.uk/test-results/\">Test Results</a>","#menu-item-74 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wodenroadsurgery.nhs.uk/reports-certificates/\">Reports / Certificates</a>","#menu-item-72 > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h3 element appears to be the primary document heading, so should be an h1 element.","error","<h3 class=\"widgettitle\"><label for=\"s\">Search</label></h3>","#search-3 > h3"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form id=\"searchform\" method=\"get\" action=\"http://www.wodenroadsurgery.nhs.uk/\">\n\n\t\t\t\t\t\t\t<div>\n\t\t\t\t\t\t\t\t<input i...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form id=\"searchform\" method=\"get\" action=\"http://www.wodenroadsurgery.nhs.uk/\">\n\n\t\t\t\t\t\t\t<div>\n\t\t\t\t\t\t\t\t<input i...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form id=\"searchform\" method=\"get\" action=\"http://www.wodenroadsurgery.nhs.uk/\">\n\n\t\t\t\t\t\t\t<div>\n\t\t\t\t\t\t\t\t<input i...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form id=\"searchform\" method=\"get\" action=\"http://www.wodenroadsurgery.nhs.uk/\">\n\n\t\t\t\t\t\t\t<div>\n\t\t\t\t\t\t\t\t<input i...</form>","#searchform"
