"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Pendeford Surgery | Medical Pra...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html><head>\n<title>Pendeford Surgery...</html>","html"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"center\">\n<table border=\"0\" width=\"100%\"...</div>","html > body > div:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<table border=\"0\" width=\"100%\" id=\"table2\" cellspacing=\"0\" cellpadding=\"0\" bgcolor=\"#666666\">\n<tbody><tr>\n<td><img border=\"0...</table>","#table2"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table border=\"0\" width=\"100%\" id=\"table2\" cellspacing=\"0\" cellpadding=\"0\" bgcolor=\"#666666\">\n<tbody><tr>\n<td><img border=\"0...</table>","#table2"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img border=\"0\" src=\"images/horsurround.gif\" alt=\"\" width=\"1\" height=\"1\">","#table2 > tbody > tr > td > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img border=\"0\" src=\"images/horsurround.gif\" alt=\"\" width=\"1\" height=\"1\">","#table2 > tbody > tr > td > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table border=\"0\" width=\"100%\" id=\"table1\" cellspacing=\"0\" cellpadding=\"0\">\n<tbody><tr>\n<td style=\"backgro...</table>","#table1"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td style=\"background-color:#666666; width:1px\"><img border=\"0\" src=\"images/ver...</td>","#table1 > tbody > tr > td:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img border=\"0\" src=\"images/vertsurround.gif\" width=\"1\" height=\"1\" alt=\"\">","#table1 > tbody > tr > td:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img border=\"0\" src=\"images/vertsurround.gif\" width=\"1\" height=\"1\" alt=\"\">","#table1 > tbody > tr > td:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<td align=\"left\" valign=\"top\">\n<table border=\"0\" width=\"100%\"...</td>","#table1 > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table border=\"0\" width=\"100%\" id=\"table3\" cellspacing=\"0\" cellpadding=\"0\">\n<tbody><tr>\n<td bgcolor=\"#FFFF...</table>","#table3"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td bgcolor=\"#FFFFFF\">\n<table border=\"0\" width=\"100%\"...</td>","#table3 > tbody > tr > td"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table border=\"0\" width=\"100%\" id=\"table4\" cellspacing=\"0\" cellpadding=\"0\">\n<tbody><tr>\n<td bgcolor=\"#FFFF...</table>","#table4"
