"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Balaji Surgery | Medical Practi...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.2b","Link element is missing a non-empty href attribute pointing to the resource being linked.","error","<link rel=\"shortcut icon\" href=\"\">","html > head > link:nth-child(42)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/\">\n\t\t\t\t\t\t<img src=\"http://www.the...</a>","#main-header > div:nth-child(1) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://www.thebalajisurgery.com/wp-content/themes/Divi/images/logo.png\" alt=\"Balaji Surgery\" id=\"logo\" data-height-percentage=\"100\" data-actual-width=\"93\" data-actual-height=\"43\">","#logo"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://www.thebalajisurgery.com/wp-content/themes/Divi/images/logo.png\" alt=\"Balaji Surgery\" id=\"logo\" data-height-percentage=\"100\" data-actual-width=\"93\" data-actual-height=\"43\">","#logo"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/\" aria-current=\"page\">Home</a>","#menu-item-45146 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/doctors-staff/\">Doctors &amp; Staff</a>","#menu-item-64 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/clinics/\">Clinics</a>","#menu-item-62 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/practice-news/\">Practice News</a>","#menu-item-60 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/quick-links/\">Quick Links</a>","#menu-item-45324 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/new-patient-registration/\">New Patient Registration</a>","#menu-item-45330 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/access-medical-records/\">Access to Medical Records</a>","#menu-item-45325 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/changing-contact-details/\">Changing My Contact Details</a>","#menu-item-45327 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/appointments/\">Appointments</a>","#menu-item-45326 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/complaints-confidentiality/\">Complaints &amp; Confidentialit...</a>","#menu-item-45328 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/extended-access-to-appointments/\">Extended Access to Appointments</a>","#menu-item-45329 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.thebalajisurgery.com/contact-us/\">Contact Us</a>","#menu-item-59 > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"menu-item-45146\" found on the web page.","error","<li id=\"menu-item-45146\" class=\"menu-item menu-item-type-post_type menu-item-object-page menu-item-home current-menu-item page_item page-item-44981 current_page_item menu-item-45146 et_first_mobile_item\"><a href=\"http://www.thebalajisu...</li>","#menu-item-45146"
