"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Wake Green Surgery | Birmingham...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html><head>\n        <title>Wake Gree...</html>","html"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a id=\"logo\" href=\"/\"><img src=\"http://www.wakegreens...</a>","#logo"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://www.wakegreensurgery.co.uk/wp-content/themes/wakegreen/resources/graphics/wakegreen-logo.png\" alt=\"Wake Green Surgery | Birmingham GP Surgery\">","#logo > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://www.wakegreensurgery.co.uk/wp-content/themes/wakegreen/resources/graphics/wakegreen-logo.png\" alt=\"Wake Green Surgery | Birmingham GP Surgery\">","#logo > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<h1>Phone lines open from 8:30am: 0...</h1>","#contact > h1"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<h2>7 Wake Green Road, Birmingham, ...</h2>","#contact > h2:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<h2>Mon &amp; Tue 08:00 - 18:30, We...</h2>","#contact > h2:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"http://www.wakegreensurgery.co.uk/stay-informed/\">Stay informed</a>","#menu-item-140 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/stay-informed/\">Stay informed</a>","#menu-item-140 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"http://www.wakegreensurgery.co.uk/practice-leaflet/\">Practice Leaflet</a>","#menu-item-1641 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/practice-leaflet/\">Practice Leaflet</a>","#menu-item-1641 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://www.wakegreensurgery.co.uk/wp-content/themes/wakegreen/resources/graphics/wakegreensurgery.jpg\" alt=\"Wake Green Surgery | Birmingham GP Surgery\">","#splash-image > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://www.wakegreensurgery.co.uk/wp-content/themes/wakegreen/resources/graphics/wakegreensurgery.jpg\" alt=\"Wake Green Surgery | Birmingham GP Surgery\">","#splash-image > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.02:1. Recommendation: change background to #525f00.","error","<a href=\"http://www.wakegreensurgery.co.uk/about-us/\">About Us</a>","#menu-item-20 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/about-us/\">About Us</a>","#menu-item-20 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/about-us/doctors/\">Doctors</a>","#menu-item-189 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/about-us/nursing-team/\">Nursing Team</a>","#menu-item-342 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/about-us/administration/\">Reception Team</a>","#menu-item-235 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/about-us/administration-2/\">Administration</a>","#menu-item-241 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.02:1. Recommendation: change background to #525f00.","error","<a href=\"http://www.wakegreensurgery.co.uk/how-do-i/\">How Do I……..?</a>","#menu-item-21 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/how-do-i/\">How Do I……..?</a>","#menu-item-21 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/how-do-i/leave-feedback/\">Leave Feedback</a>","#menu-item-1851 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.wakegreensurgery.co.uk/how-do-i/cancel-an-appointment/\">Register at the surgery</a>","#menu-item-23 > a"
