"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Bramcote Surgery - Bramcote Sur...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.bramcotesurgery.co.uk/\"><img data-no-lazy=\"1\" class=\"fl...</a>","html > body > div:nth-child(1) > header:nth-child(1) > div > div > div > div:nth-child(1) > div > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img data-no-lazy=\"1\" class=\"fl-logo-img\" itemscope=\"\" itemtype=\"https://schema.org/ImageObject\" src=\"https://www.bramcotesurgery.co.uk/wp-content/uploads/2018/06/Bramcote-Header-448.png\" data-retina=\"\" alt=\"Bramcote Surgery\">","html > body > div:nth-child(1) > header:nth-child(1) > div > div > div > div:nth-child(1) > div > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img data-no-lazy=\"1\" class=\"fl-logo-img\" itemscope=\"\" itemtype=\"https://schema.org/ImageObject\" src=\"https://www.bramcotesurgery.co.uk/wp-content/uploads/2018/06/Bramcote-Header-448.png\" data-retina=\"\" alt=\"Bramcote Surgery\">","html > body > div:nth-child(1) > header:nth-child(1) > div > div > div > div:nth-child(1) > div > a > img"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title attribute, element content, aria-label attribute, aria-labelledby attribute.","error","<button type=\"button\" class=\"navbar-toggle navbar-toggler\" data-toggle=\"collapse\" data-target=\".fl-page-nav-collapse\">\n\t\t\t\t\t\t\t\t<span><i class=\"fas fa...</button>","html > body > div:nth-child(1) > header:nth-child(1) > div > div > div > div:nth-child(2) > div > nav > button"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button type=\"button\" class=\"navbar-toggle navbar-toggler\" data-toggle=\"collapse\" data-target=\".fl-page-nav-collapse\">\n\t\t\t\t\t\t\t\t<span><i class=\"fas fa...</button>","html > body > div:nth-child(1) > header:nth-child(1) > div > div > div > div:nth-child(2) > div > nav > button"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.bramcotesurgery.co.uk\" aria-current=\"page\" class=\"nav-link\" style=\"width: auto;\">Home</a>","#menu-item-130 > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a class=\"nav-link\" style=\"width: auto;\">General Information</a>","#menu-item-156 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"nav-link\" style=\"width: auto;\">General Information</a>","#menu-item-156 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.bramcotesurgery.co.uk/meet-the-team/\" class=\"nav-link\" style=\"width: auto;\">Meet the Team</a>","#menu-item-161 > a"
