"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Windmill Surgery -  Doctor / GP...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body text=\"#000000\" style=\"background-image: url(http://windmillsurgery.com/wpimages/wp000c5738_06.png); background-attachment: scroll; background-color: rgb(255, 255, 255); height: 1160px; position: relative; min-height: 100%; top: 40px; background...","html > body"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":2.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:2.container"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div style=\"height:inherit;width:100%;min-width:970px;margin:0;position:absolute;background:transparent url('wpimages/wp126cf416_06.png') no-repeat scroll bottom center;\"></div>","html > body > div:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div style=\"background-color:#ffffff;margin-left:auto;margin-right:auto;position:relative;width:970px;height:1150px;top:10px;\">\n<img src=\"wpimages/wp58cd38d9_...</div>","html > body > div:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div style=\"background-color:#ffffff;margin-left:auto;margin-right:auto;position:relative;width:970px;height:1150px;top:10px;\">\n<img src=\"wpimages/wp58cd38d9_...</div>","html > body > div:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"wpimages/wp58cd38d9_06.png\" border=\"0\" width=\"970\" height=\"1083\" id=\"obj_22\" alt=\"\" style=\"position:absolute;left:0px;top:0px;\">","#obj_22"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"wpimages/wp58cd38d9_06.png\" border=\"0\" width=\"970\" height=\"1083\" id=\"obj_22\" alt=\"\" style=\"position:absolute;left:0px;top:0px;\">","#obj_22"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"wpimages/wp4b75387a_06.png\" border=\"0\" width=\"970\" height=\"44\" id=\"qs_13\" alt=\"\" style=\"position:absolute;left:0px;top:1106px;\">","#qs_13"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"wpimages/wp4b75387a_06.png\" border=\"0\" width=\"970\" height=\"44\" id=\"qs_13\" alt=\"\" style=\"position:absolute;left:0px;top:1106px;\">","#qs_13"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"https://www.google.com/images/cleardot.gif\" class=\"goog-te-gadget-icon\" alt=\"\" style=\"background-image: url(https://translate.googleapis.com/translate_static/img/te_ctrl3.gif); background-position: -65px 0px;\">","#:0.targetLanguage > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<img src=\"https://www.google.com/images/cleardot.gif\" class=\"goog-te-gadget-icon\" alt=\"\" style=\"background-image: url(https://translate.googleapis.com/translate_static/img/te_ctrl3.gif); background-position: -65px 0px;\">","#:0.targetLanguage > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.google.com/images/cleardot.gif\" class=\"goog-te-gadget-icon\" alt=\"\" style=\"background-image: url(https://translate.googleapis.com/translate_static/img/te_ctrl3.gif); background-position: -65px 0px;\">","#:0.targetLanguage > img"
