"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>BG Health – Welcome to BG Healt...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"https://bghealth.mygeneralpractice.org/wp-content/uploads/elementor/thumbs/bglogo5_white-o508rgkriqy08qtnxmitedanygp4nr5dihnl4uajnk.png\" title=\"bglogo5_white\" alt=\"bglogo5_white\">","#site-header > div > div > div > section > div > div > div:nth-child(1) > div > div > div:nth-child(1) > div > div > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://bghealth.mygeneralpractice.org/wp-content/uploads/elementor/thumbs/bglogo5_white-o508rgkriqy08qtnxmitedanygp4nr5dihnl4uajnk.png\" title=\"bglogo5_white\" alt=\"bglogo5_white\">","#site-header > div > div > div > section > div > div > div:nth-child(1) > div > div > div:nth-child(1) > div > div > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"https://ourhealthpartnership.com/\" data-elementor-open-lightbox=\"\" target=\"_blank\" rel=\"nofollow\">\n\t\t\t\t\t\t\t<img width=\"1063\" heigh...</a>","#site-header > div > div > div > section > div > div > div:nth-child(1) > div > div > div:nth-child(2) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://ourhealthpartnership.com/\" data-elementor-open-lightbox=\"\" target=\"_blank\" rel=\"nofollow\">\n\t\t\t\t\t\t\t<img width=\"1063\" heigh...</a>","#site-header > div > div > div > section > div > div > div:nth-child(1) > div > div > div:nth-child(2) > div > div > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"https://ourhealthpartnership.com/\" data-elementor-open-lightbox=\"\" target=\"_blank\" rel=\"nofollow\">\n\t\t\t\t\t\t\t<img width=\"1063\" heigh...</a>","#site-header > div > div > div > section > div > div > div:nth-child(1) > div > div > div:nth-child(2) > div > div > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img width=\"1063\" height=\"219\" src=\"https://bghealth.mygeneralpractice.org/wp-content/uploads/2018/12/ohplogo.png\" class=\"attachment-full size-full\" alt=\"\" srcset=\"https://bghealth.mygeneralpractice.org/wp-content/uploads/2018/12/ohplogo.png 1063w, h...","#site-header > div > div > div > section > div > div > div:nth-child(1) > div > div > div:nth-child(2) > div > div > a > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h2 element appears to be the primary document heading, so should be an h1 element.","error","<h2 class=\"elementor-heading-title elementor-size-default\">BG Health At Your Fingertips</h2>","#site-header > div > div > div > section > div > div > div:nth-child(2) > div > div > div:nth-child(1) > div > h2"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div class=\"spt-box\" style=\"background-color: inherit;overflow: hidden;border-top-right-radius: 0px;border-bottom-right-radius: 0px;\"><div class=\"spt-content\" data-s...</div>","#site-header > div > div > div > section > div > div > div:nth-child(2) > div > div > div:nth-child(2) > div > div > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<a class=\"spt-link\" style=\"color: #ffffff;\" target=\"_self\" href=\"https://bghealth.mygeneralpractice.org/gp-consultations-to-increase-from-10-to-15-minutes/\">|GP Consultations to increase f...</a>","#site-header > div > div > div > section > div > div > div:nth-child(2) > div > div > div:nth-child(2) > div > div > div > div > span:nth-child(1) > a"
