"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Welcome to The Surgery @ Aylest...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"home-link\" href=\"http://thesurgeryataylestone.co.uk/\" title=\"Welcome to The Surgery @ Aylestone\" rel=\"home\">\n    <img src=\"http://thesurger...</a>","#page > header > div > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://thesurgeryataylestone.co.uk/wp-content/themes/surgery/images/logoplain.jpg\" class=\"img-responsive center-block\" alt=\"logo\">","#page > header > div > div:nth-child(1) > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://thesurgeryataylestone.co.uk/wp-content/themes/surgery/images/logoplain.jpg\" class=\"img-responsive center-block\" alt=\"logo\">","#page > header > div > div:nth-child(1) > a > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"http://thesurgeryataylestone.co.uk/\">HOME</a>","#mega-menu-item-11 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://thesurgeryataylestone.co.uk/\">HOME</a>","#mega-menu-item-11 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"http://thesurgeryataylestone.co.uk/about-us/\">ABOUT US</a>","#mega-menu-item-35 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://thesurgeryataylestone.co.uk/about-us/\">ABOUT US</a>","#mega-menu-item-35 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://thesurgeryataylestone.co.uk/opening-times/\">OPENING TIMES &amp; CLOSURES</a>","#mega-menu-item-34 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://thesurgeryataylestone.co.uk/ppg/\">PPG</a>","#mega-menu-item-29 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://thesurgeryataylestone.co.uk/contact-us/\">FIND / CONTACT US</a>","#mega-menu-item-28 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://thesurgeryataylestone.co.uk/your-information/\">YOUR INFORMATION</a>","#mega-menu-item-184 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"http://thesurgeryataylestone.co.uk/appointments/\">APPOINTMENTS</a>","#mega-menu-item-33 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://thesurgeryataylestone.co.uk/appointments/\">APPOINTMENTS</a>","#mega-menu-item-33 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://thesurgeryataylestone.co.uk/out-of-hours/\">OUT-OF-HOURS</a>","#mega-menu-item-478 > a"
