"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Lion Health</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\"><head>\n<meta http-equiv=\"Conten...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.42:1. Recommendation: change background to #295a93.","error","<a class=\"quicklinks\" href=\"http://lion-health.co.uk/search/quick-links\">Quick Links</a>","#search > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"quicklinks\" href=\"http://lion-health.co.uk/search/quick-links\">Quick Links</a>","#search > a"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form method=\"post\" action=\"http://lion-health.co.uk/\">\n<div class=\"hiddenFields\">\n<in...</form>","#search > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form method=\"post\" action=\"http://lion-health.co.uk/\">\n<div class=\"hiddenFields\">\n<in...</form>","#search > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form method=\"post\" action=\"http://lion-health.co.uk/\">\n<div class=\"hiddenFields\">\n<in...</form>","#search > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form method=\"post\" action=\"http://lion-health.co.uk/\">\n<div class=\"hiddenFields\">\n<in...</form>","#search > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form method=\"post\" action=\"http://lion-health.co.uk/\">\n<div class=\"hiddenFields\">\n<in...</form>","#search > form"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"ACT\" value=\"24\">","#search > form > div > input:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"XID\" value=\"4d28985ccbd468eb03e1c8e6da99df8c8fb2acb2\">","#search > form > div > input:nth-child(2)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"RES\" value=\"\">","#search > form > div > input:nth-child(3)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"meta\" value=\"YTo5OntzOjY6InN0YXR1cyI7czoxMDY6Ik9wZW4gfCBIZWFsdGh5IExpdmluZyB8IEZhbWlseSBQbGFubmluZyB8IFByZWduYW5jeSBhbmQgQ2hpbGQgfCBDaHJvbmljIElsbG5lc3MgfCBBY3V0ZSBJbGxuZXNzIHwgU2VydmljZXMiO3M6NzoiY2hhbm5lbCI7czo4Njoib3VyX3...","#search > form > div > input:nth-child(4)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"site_id\" value=\"1\">","#search > form > div > input:nth-child(5)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input type=\"text\" name=\"keywords\" id=\"keywords\" value=\"\" size=\"18\" maxlength=\"100\">","#keywords"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","error","<input type=\"text\" name=\"keywords\" id=\"keywords\" value=\"\" size=\"18\" maxlength=\"100\">","#keywords"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"text\" name=\"keywords\" id=\"keywords\" value=\"\" size=\"18\" maxlength=\"100\">","#keywords"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"submit\" value=\"submit\" class=\"submit\">","#search > form > input:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a id=\"logo\" href=\"index.html\"><span>Lion Health</span></a>","#logo"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.7:1. Recommendation: change background to #00607e.","error","<a href=\"http://lion-health.co.uk\" class=\"home pmmfirst\" id=\"p7PMM_1a1\">HOME</a>","#p7PMM_1a1"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk\" class=\"home pmmfirst\" id=\"p7PMM_1a1\">HOME</a>","#p7PMM_1a1"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.51:1. Recommendation: change background to #4e509e.","error","<a href=\"http://lion-health.co.uk/our-practice\" class=\"our-practice trig_closed\" id=\"p7PMM_1a2\">OUR PRACTICE</a>","#p7PMM_1a2"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice\" class=\"our-practice trig_closed\" id=\"p7PMM_1a2\">OUR PRACTICE</a>","#p7PMM_1a2"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/opening-times\" class=\"pmmfirst\" id=\"p7PMM_1a7\">Opening Times</a>","#p7PMM_1a7"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/contact-us\" id=\"p7PMM_1a8\">Contact Us</a>","#p7PMM_1a8"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/new-patients\" id=\"p7PMM_1a9\">New Patients</a>","#p7PMM_1a9"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/meet-the-staff\" id=\"p7PMM_1a10\">Meet The Staff</a>","#p7PMM_1a10"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/education\" id=\"p7PMM_1a11\">Education</a>","#p7PMM_1a11"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/policies\" id=\"p7PMM_1a12\">Policies</a>","#p7PMM_1a12"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/job-vacancies\" id=\"p7PMM_1a13\">Job Vacancies</a>","#p7PMM_1a13"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/named-accountable-gp-for-all-patients\" id=\"p7PMM_1a14\">Named Accountable GP For All Pa...</a>","#p7PMM_1a14"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/frequently-asked-questions\" id=\"p7PMM_1a15\">Frequently Asked Questions</a>","#p7PMM_1a15"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/twitter\" id=\"p7PMM_1a16\">Twitter</a>","#p7PMM_1a16"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/patient-complaint-information\" id=\"p7PMM_1a17\">Patient Complaint Information</a>","#p7PMM_1a17"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/practice-booklet\" id=\"p7PMM_1a18\">Practice Booklet</a>","#p7PMM_1a18"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/processing-your-data\" id=\"p7PMM_1a19\">Processing Your Data</a>","#p7PMM_1a19"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/our-practice/freedom-of-information\" id=\"p7PMM_1a20\" class=\"pmmlast\">Freedom of Information</a>","#p7PMM_1a20"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.42:1. Recommendation: change background to #295a93.","error","<a href=\"http://lion-health.co.uk/virtual-reception\" class=\"virtual-reception trig_closed\" id=\"p7PMM_1a3\">VIRTUAL RECEPTION</a>","#p7PMM_1a3"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://lion-health.co.uk/virtual-reception\" class=\"virtual-reception trig_closed\" id=\"p7PMM_1a3\">VIRTUAL RECEPTION</a>","#p7PMM_1a3"
