"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Welcome to Woodford Medical Cen...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html style=\"height: 100%;\"><head><meta http-equiv=\"content...</html>","html"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":0.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:0.container"
"WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \":0.container\" found on the web page.","error","<iframe id=\":0.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:0.container"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":0.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:0.container"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div id=\"aachangefont\">Font Size</div>","#aachangefont"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img id=\"minustext\" alt=\"Decrease text size\" title=\"Decrease text size\" src=\"https://www.woodfordmedicalcentre.nhs.uk/theme/WoodfordMedicalCentre/i/asmal.png\" onclick=\"resizeText(-1)\">","#minustext"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<img id=\"minustext\" alt=\"Decrease text size\" title=\"Decrease text size\" src=\"https://www.woodfordmedicalcentre.nhs.uk/theme/WoodfordMedicalCentre/i/asmal.png\" onclick=\"resizeText(-1)\">","#minustext"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img id=\"minustext\" alt=\"Decrease text size\" title=\"Decrease text size\" src=\"https://www.woodfordmedicalcentre.nhs.uk/theme/WoodfordMedicalCentre/i/asmal.png\" onclick=\"resizeText(-1)\">","#minustext"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img id=\"plustext\" alt=\"Increase text size\" title=\"Increase text size\" src=\"https://www.woodfordmedicalcentre.nhs.uk/theme/WoodfordMedicalCentre/i/abig.png\" onclick=\"resizeText(1)\">","#plustext"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<img id=\"plustext\" alt=\"Increase text size\" title=\"Increase text size\" src=\"https://www.woodfordmedicalcentre.nhs.uk/theme/WoodfordMedicalCentre/i/abig.png\" onclick=\"resizeText(1)\">","#plustext"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img id=\"plustext\" alt=\"Increase text size\" title=\"Increase text size\" src=\"https://www.woodfordmedicalcentre.nhs.uk/theme/WoodfordMedicalCentre/i/abig.png\" onclick=\"resizeText(1)\">","#plustext"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<div id=\"logowelcome\">\n\t\t\t\t\t\tWelcome to\n\t\t\t\t\t</div>","#logowelcome"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<div id=\"logo\">\n\t\t\t\t\t\tWoodford Medical Centre\n...</div>","#logo"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div id=\"logoaddress\">\n\t\t\t\t\t\tFreshney Green Primary C...</div>","#logoaddress"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"https://www.woodfordmedicalcentre.nhs.uk/search/\" method=\"GET\" class=\"search\">\n  <input type=\"text\" name=\"wor...</form>","#header > div:nth-child(6) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"https://www.woodfordmedicalcentre.nhs.uk/search/\" method=\"GET\" class=\"search\">\n  <input type=\"text\" name=\"wor...</form>","#header > div:nth-child(6) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"https://www.woodfordmedicalcentre.nhs.uk/search/\" method=\"GET\" class=\"search\">\n  <input type=\"text\" name=\"wor...</form>","#header > div:nth-child(6) > form"
