"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body style=\"height:1464px;background:url('wpimages/wp8673429a_06.gif') repeat-x scroll center top #ffffff;\">\n    <div id=\"divMain\" style=\"b...</body>","html > body"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div id=\"divMain\" style=\"background:transparent;margin-left:auto;margin-right:auto;position:relative;width:980px;height:1464px;\">\n      <img alt=\"\" src=\"wpimage...</div>","#divMain"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div id=\"divMain\" style=\"background:transparent;margin-left:auto;margin-right:auto;position:relative;width:980px;height:1464px;\">\n      <img alt=\"\" src=\"wpimage...</div>","#divMain"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img alt=\"\" src=\"wpimages/wp4b10f577_06.png\" style=\"position:absolute;left:0px;top:133px;width:980px;height:242px;\">","#divMain > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img alt=\"\" src=\"wpimages/wp4b10f577_06.png\" style=\"position:absolute;left:0px;top:133px;width:980px;height:242px;\">","#divMain > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img alt=\"\" src=\"wpimages/wpad46600c_06.png\" style=\"position:absolute;left:0px;top:1312px;width:980px;height:145px;\">","#divMain > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img alt=\"\" src=\"wpimages/wpad46600c_06.png\" style=\"position:absolute;left:0px;top:1312px;width:980px;height:145px;\">","#divMain > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"C-1\">Ixworth Surgery<br>Peddars Clos...</span>","#divMain > div:nth-child(3) > p:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"C-2\">Mon to Fri 8.00 am to 6.30 pm</span>","#divMain > div:nth-child(3) > p:nth-child(2) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"C-2\">The Ixworth Surgery provides GP...</span>","#divMain > div:nth-child(4) > p > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"page36.html\" class=\"C-3\">PRIVACY POLICY AND TERMS OF USE</a>","#divMain > div:nth-child(5) > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page36.html\" class=\"C-3\">PRIVACY POLICY AND TERMS OF USE</a>","#divMain > div:nth-child(5) > p > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"C-2\"> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;...</span>","#divMain > div:nth-child(5) > p > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"http://www.easygp.net\" target=\"_blank\" class=\"C-4\">EasyGp</a>","#divMain > div:nth-child(5) > p > span > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.easygp.net\" target=\"_blank\" class=\"C-4\">EasyGp</a>","#divMain > div:nth-child(5) > p > span > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"http://www.easygp.net\" target=\"_blank\" class=\"C-4\">EasyGp</a>","#divMain > div:nth-child(5) > p > span > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"nav_360style_level1\" id=\"nav_360_P1\" style=\"visibility: hidden; z-index: 100; position: absolute;\"><tbody><tr><td><a href=\"page33....</table>","#nav_360_P1"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page33.html\" target=\"_self\" id=\"nav_360_P1_I0\" class=\"\" style=\"display: block;\">Patient Association</a>","#nav_360_P1_I0"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page41.html\" target=\"_self\" id=\"nav_360_P1_I1\" class=\"\" style=\"display: block;\">Appointments</a>","#nav_360_P1_I1"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page9.html\" target=\"_self\" id=\"nav_360_P1_I2\" class=\"\" style=\"display: block;\">Prescriptions</a>","#nav_360_P1_I2"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page13.html\" target=\"_self\" id=\"nav_360_P1_I3\" class=\"\" style=\"display: block;\">Out-of-Hours &amp; Emergencies</a>","#nav_360_P1_I3"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page20.html\" target=\"_self\" id=\"nav_360_P1_I4\" class=\"\" style=\"display: block;\">Practice Policies</a>","#nav_360_P1_I4"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"privacy.html\" target=\"_self\" id=\"nav_360_P1_I5\" class=\"\" style=\"display: block;\">Privacy Policy</a>","#nav_360_P1_I5"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"training_days.html\" target=\"_self\" id=\"nav_360_P1_I6\" class=\"\" style=\"display: block;\">Training Days</a>","#nav_360_P1_I6"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"nav_360style_level1\" id=\"nav_360_P2\" style=\"visibility: hidden; z-index: 100; position: absolute;\"><tbody><tr><td><a href=\"page21....</table>","#nav_360_P2"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page21.html\" target=\"_self\" id=\"nav_360_P2_I0\" class=\"\" style=\"display: block;\">Doctors</a>","#nav_360_P2_I0"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page22.html\" target=\"_self\" id=\"nav_360_P2_I1\" class=\"\" style=\"display: block;\">Nurses</a>","#nav_360_P2_I1"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page23.html\" target=\"_self\" id=\"nav_360_P2_I2\" class=\"\" style=\"display: block;\">Other staff</a>","#nav_360_P2_I2"
