"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title itemprop=\"name\">Thistlemoor Medical Centre</title>","html > head > title"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div role=\"button\" class=\"U26fgb mUbCce fKz7Od h3nfre\" jscontroller=\"VXdfxd\" jsaction=\"click:cOuCgd; mousedown:UX7yZ; mouseup:lbsD7e; mouseenter:tfO1Yc; mouseleave:JywGue; focus:AHmuwe; blur:O22p3e; contextmenu:mg9Pef;touchstart:p6p2H; touchmove:FwuN...","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div role=\"button\" class=\"U26fgb mUbCce fKz7Od i3PoXe\" jscontroller=\"VXdfxd\" jsaction=\"click:cOuCgd; mousedown:UX7yZ; mouseup:lbsD7e; mouseenter:tfO1Yc; mouseleave:JywGue; focus:AHmuwe; blur:O22p3e; contextmenu:mg9Pef;touchstart:p6p2H; touchmove:FwuN...","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > span:nth-child(1) > div:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div role=\"button\" class=\"U26fgb mUbCce fKz7Od JyJRXe\" jscontroller=\"VXdfxd\" jsaction=\"click:cOuCgd; mousedown:UX7yZ; mouseup:lbsD7e; mouseenter:tfO1Yc; mouseleave:JywGue; focus:AHmuwe; blur:O22p3e; contextmenu:mg9Pef;touchstart:p6p2H; touchmove:FwuN...","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > span:nth-child(1) > div:nth-child(3)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"search\" class=\"whsOnd zHQkBf\" jsname=\"YPqjbf\" autocomplete=\"off\" tabindex=\"0\" aria-label=\"搜索此网站\" value=\"\" autofocus=\"\" role=\"combobox\" data-initial-value=\"\">","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > div:nth-child(2) > input"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div role=\"button\" class=\"U26fgb mUbCce fKz7Od Kk06A\" jscontroller=\"VXdfxd\" jsaction=\"click:cOuCgd; mousedown:UX7yZ; mouseup:lbsD7e; mouseenter:tfO1Yc; mouseleave:JywGue; focus:AHmuwe; blur:O22p3e; contextmenu:mg9Pef;touchstart:p6p2H; touchmove:FwuNn...","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > span:nth-child(3) > div"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div class=\"DXsoRd YTv4We Mz8gvb\" role=\"button\" tabindex=\"0\" jsaction=\"click:LUvzV\" jsname=\"z4Tpl\" id=\"s9iPrd\" aria-haspopup=\"true\" aria-controls=\"yuynLe\" aria-expanded=\"false\" title=\"显示边栏\"><svg class=\"wFCWne\" viewBox=\"0 ...</div>","#s9iPrd"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"Zjiec\" href=\"/thistlemoor-medical-centre\"><span>Thistlemoor Medical Centr...</a>","#yuynLe > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb dk90Ob hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"0\" aria-selected=\"true\" aria-expanded=\"true\" aria-haspopup=\"true\" href=\"/thistlemoor-medical-centre\" data-url=\"/thistlemoor-medical-centre\" data-type=\"1\" jsaction=\"keydown:mP...","#yuynLe > ul > li:nth-child(1) > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/thistlemoor-medical-centre/protocols\" data-url=\"/thistlemoor-medical-centre/protocols\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Regulation of s...","#yuynLe > ul > li:nth-child(1) > div:nth-child(2) > ul > li:nth-child(1) > div > div > a"
