"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Tasburgh Lodge Surgery</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<noscript>&lt;iframe src=\"//www.googletag...</noscript>","html > body > noscript"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"center-div inner-background\"><tbody><tr><td>\n\n\n<script type=...</table>","html > body > div > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"headercolor header-height fullwidth\"><tbody><tr><td class=\"td-top td...</table>","html > body > div > table > tbody > tr > td > div:nth-child(2) > table"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"index.html\"><img src=\"picts/logo.png\" width...</a>","html > body > div > table > tbody > tr > td > div:nth-child(2) > table > tbody > tr > td:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.html\"><img src=\"picts/logo.png\" width...</a>","html > body > div > table > tbody > tr > td > div:nth-child(2) > table > tbody > tr > td:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"picts/logo.png\" width=\"390\" height=\"70\" class=\"blockimage\">","html > body > div > table > tbody > tr > td > div:nth-child(2) > table > tbody > tr > td:nth-child(1) > a > img"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form method=\"get\" action=\"http://www.google.co.uk/search\" class=\"formmargin\" target=\"_top\"><input type=\"hidden\" name=\"ie\" ...</form>","html > body > div > table > tbody > tr > td > div:nth-child(2) > table > tbody > tr > td:nth-child(2) > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form method=\"get\" action=\"http://www.google.co.uk/search\" class=\"formmargin\" target=\"_top\"><input type=\"hidden\" name=\"ie\" ...</form>","html > body > div > table > tbody > tr > td > div:nth-child(2) > table > tbody > tr > td:nth-child(2) > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form method=\"get\" action=\"http://www.google.co.uk/search\" class=\"formmargin\" target=\"_top\"><input type=\"hidden\" name=\"ie\" ...</form>","html > body > div > table > tbody > tr > td > div:nth-child(2) > table > tbody > tr > td:nth-child(2) > div > form"
