"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Wansford surgery</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html><!-- InstanceBegin template=\"/T...</html>","html"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table border=\"1\" cellpadding=\"0\" cellspacing=\"0\" style=\"border-collapse: collapse; border-width: 0\" bordercolor=\"#111111\" width=\"100%\" id=\"AutoNumber1\" height=\"125\">\n  <tbody><tr>\n    <td width=\"1...</table>","#AutoNumber1"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td width=\"100%\" style=\"border-style: none; border-width: medium\" bgcolor=\"#3366FF\" height=\"77\" valign=\"top\">\n    <table border=\"1\" cellpadd...</td>","#AutoNumber1 > tbody > tr:nth-child(1) > td"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table border=\"1\" cellpadding=\"0\" cellspacing=\"0\" style=\"border-collapse: collapse; border-width: 0\" bordercolor=\"#111111\" width=\"100%\" id=\"AutoNumber6\">\n        <tbody><tr> \n         ...</table>","#AutoNumber6"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td width=\"36%\" rowspan=\"2\" bgcolor=\"#3366FF\" style=\"border-style: none; border-width: medium\"> \n            <p style=\"margin-...</td>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"images/surgery.gif\" width=\"272\" height=\"181\" align=\"left\">","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(1) > p > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<img src=\"images/surgery.gif\" width=\"272\" height=\"181\" align=\"left\">","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(1) > p > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/surgery.gif\" width=\"272\" height=\"181\" align=\"left\">","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(1) > p > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b> \n              </b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(1) > p > b"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td width=\"34%\" style=\"border-style: none; border-width: medium\" bgcolor=\"#3366FF\"><div align=\"center\"><b><font fa...</td>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"center\"><b><font face=\"Arial\" size=\"6\" ...</div>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(2) > div"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<div align=\"center\"><b><font face=\"Arial\" size=\"6\" ...</div>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(2) > div"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b><font face=\"Arial\" size=\"6\" col...</b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(2) > div > b"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font face=\"Arial\" size=\"6\" color=\"#FFFFFF\">Wansford \n              and Kin...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(2) > div > b > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<font face=\"Arial\" size=\"6\" color=\"#FFFFFF\">Wansford \n              and Kin...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(2) > div > b > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td width=\"22%\" bgcolor=\"#3366FF\" style=\"border-style: none; border-width: medium\"><div align=\"left\">\n            ...</td>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"left\">\n            <p><b><i><font col...</div>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b><i><font color=\"#FFFFFF\" face=\"...</b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.I","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<i><font color=\"#FFFFFF\" face=\"Ari...</i>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(1) > i"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font color=\"#FFFFFF\" face=\"Arial, Helvetica\"><b>Dr \n              Amrit Takh...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(1) > i > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<font color=\"#FFFFFF\" face=\"Arial, Helvetica\"><b>Dr \n              Amrit Takh...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(1) > i > font"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b>Dr \n              Amrit Takhar&...</b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(1) > i > font > b"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b><i><font color=\"#FFFFFF\" face=\"...</b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.I","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<i><font color=\"#FFFFFF\" face=\"Ari...</i>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2) > i"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font color=\"#FFFFFF\" face=\"Arial, Helvetica\"><b><i><font color=\"#FFFFFF\" fac...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2) > i > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<font color=\"#FFFFFF\" face=\"Arial, Helvetica\"><b><i><font color=\"#FFFFFF\" fac...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2) > i > font"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b><i><font color=\"#FFFFFF\" face=\"...</b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2) > i > font > b"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.I","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<i><font color=\"#FFFFFF\" face=\"Ari...</i>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2) > i > font > b > i"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font color=\"#FFFFFF\" face=\"Arial, Helvetica\"><b>Dr Sundeap Odedra<br>\n      ...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2) > i > font > b > i > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<font color=\"#FFFFFF\" face=\"Arial, Helvetica\"><b>Dr Sundeap Odedra<br>\n      ...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2) > i > font > b > i > font"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b>Dr Sundeap Odedra<br>\n         ...</b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(2) > i > font > b > i > font > b"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b><i><font color=\"#FFFFFF\" face=\"...</b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.I","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<i><font color=\"#FFFFFF\" face=\"Ari...</i>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(3) > i"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Font","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<font color=\"#FFFFFF\" face=\"Arial, Helvetica\"><b><br>\n              <br>\n    ...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(3) > i > font"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<font color=\"#FFFFFF\" face=\"Arial, Helvetica\"><b><br>\n              <br>\n    ...</font>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(3) > i > font"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b><br>\n              <br>\n       ...</b>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(3) > div > p > b:nth-child(3) > i > font > b"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td width=\"0%\" rowspan=\"2\" bgcolor=\"#3366FF\" style=\"border-style: none; border-width: medium\">&nbsp;</td>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td width=\"8%\" rowspan=\"2\" bgcolor=\"#3366FF\" style=\"border-style: none; border-width: medium\"> \n            <p align=\"left\" s...</td>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(5)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<p align=\"left\" style=\"margin-top: 0; margin-bottom: 0\"><b><i><font face=\"Verdana\" colo...</p>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(5) > p"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<p align=\"left\" style=\"margin-top: 0; margin-bottom: 0\"><b><i><font face=\"Verdana\" colo...</p>","#AutoNumber6 > tbody > tr:nth-child(1) > td:nth-child(5) > p"
