"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Homeless Health Service: Primar...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button type=\"button\" class=\"a11y-toggle-contrast toggle-contrast\" id=\"is_normal_contrast\" aria-pressed=\"false\"><span class=\"offscreen\">Toggle ...</button>","#is_normal_contrast"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","warning","<span class=\"offscreen\">Toggle High Contrast</span>","#is_normal_contrast > span:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button type=\"button\" class=\"a11y-toggle-fontsize toggle-fontsize\" id=\"is_normal_fontsize\" aria-pressed=\"false\"><span class=\"offscreen\">Toggle ...</button>","#is_normal_fontsize"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","warning","<span class=\"offscreen\">Toggle Font size</span>","#is_normal_fontsize > span:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"http://www.nhs.uk/pages/home.aspx\"><img src=\"http://homelesshealth...</a>","#header > div:nth-child(1) > div > div > div:nth-child(1) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.nhs.uk/pages/home.aspx\"><img src=\"http://homelesshealth...</a>","#header > div:nth-child(1) > div > div > div:nth-child(1) > div > div > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://homelesshealthservice.co.uk/wp-content/uploads/2016/09/nhs-web-logo-small.png\" class=\"screen-only\">","#header > div:nth-child(1) > div > div > div:nth-child(1) > div > div > a > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://homelesshealthservice.co.uk/\" title=\"Homeless Health Service\" class=\"logo\">\n\t<img src=\"http://homelessheal...</a>","#header > div:nth-child(1) > div > div > div:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://homelesshealthservice.co.uk/wp-content/uploads/2016/09/weblogo-small.png\" alt=\"Homeless Health Service\">","#header > div:nth-child(1) > div > div > div:nth-child(2) > a > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://homelesshealthservice.co.uk/wp-content/uploads/2016/09/weblogo-small.png\" alt=\"Homeless Health Service\">","#header > div:nth-child(1) > div > div > div:nth-child(2) > a > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"logo_retina\" src=\"http://homelesshealthservice.co.uk/wp-content/uploads/2016/09/weblogo-small.png\" alt=\"Homeless Health Service\" width=\"157.5\" height=\"47.5\">","#header > div:nth-child(1) > div > div > div:nth-child(2) > a > img:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"logo_retina\" src=\"http://homelesshealthservice.co.uk/wp-content/uploads/2016/09/weblogo-small.png\" alt=\"Homeless Health Service\" width=\"157.5\" height=\"47.5\">","#header > div:nth-child(1) > div > div > div:nth-child(2) > a > img:nth-child(3)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a class=\"responsive_nav cmsms_theme_icon_resp_nav\" href=\"javascript:void(0);\"></a>","#header > div:nth-child(2) > div > div > div > div > div > a"
