"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>The Oakwood Surgery</title>","html > head > title:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body style=\"height: 2500px; background-image: url(http://www.theoakwoodsurgery.co.uk/wpimages/wp338f3b27_06.png); background-attachment: scroll; background-color: rgb(255, 255, 255); position: relative; min-height: 100%; top: 40px; background-positi...","html > body"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":1.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:1.container"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div id=\"divMain\" style=\"background:transparent;margin-left:auto;margin-right:auto;position:relative;width:1204px;height:2500px;\">\n      <img alt=\"\" src=\"wpimage...</div>","#divMain"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div id=\"divMain\" style=\"background:transparent;margin-left:auto;margin-right:auto;position:relative;width:1204px;height:2500px;\">\n      <img alt=\"\" src=\"wpimage...</div>","#divMain"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img alt=\"\" src=\"wpimages/wp38324c2d_06.png\" id=\"qs_13\" style=\"position:absolute;left:0px;top:2439px;width:1200px;height:53px;\">","#qs_13"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img alt=\"\" src=\"wpimages/wp38324c2d_06.png\" id=\"qs_13\" style=\"position:absolute;left:0px;top:2439px;width:1200px;height:53px;\">","#qs_13"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img alt=\"\" src=\"wpimages/wp5653e8b2_06.png\" id=\"crv_1\" style=\"position:absolute;left:24px;top:77px;width:743px;height:1px;\">","#crv_1"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img alt=\"\" src=\"wpimages/wp5653e8b2_06.png\" id=\"crv_1\" style=\"position:absolute;left:24px;top:77px;width:743px;height:1px;\">","#crv_1"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"C-1\">Masham Road</span>","#txt_2 > p:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"C-1\">Cantley, Doncaster</span>","#txt_2 > p:nth-child(2) > span"
