"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>\n\t\tCarcroft Health Centre | Che...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","error","<form action=\"http://carcroftdoctorsgroup.co.uk/\" class=\"searchform clearfix\" method=\"get\">\n\t\t<label class=\"assistive-text...</form>","#branding > div > div > section > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"http://carcroftdoctorsgroup.co.uk/\" class=\"searchform clearfix\" method=\"get\">\n\t\t<label class=\"assistive-text...</form>","#branding > div > div > section > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"http://carcroftdoctorsgroup.co.uk/\" class=\"searchform clearfix\" method=\"get\">\n\t\t<label class=\"assistive-text...</form>","#branding > div > div > section > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"http://carcroftdoctorsgroup.co.uk/\" class=\"searchform clearfix\" method=\"get\">\n\t\t<label class=\"assistive-text...</form>","#branding > div > div > section > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"http://carcroftdoctorsgroup.co.uk/\" class=\"searchform clearfix\" method=\"get\">\n\t\t<label class=\"assistive-text...</form>","#branding > div > div > section > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"http://carcroftdoctorsgroup.co.uk/\" class=\"searchform clearfix\" method=\"get\">\n\t\t<label class=\"assistive-text...</form>","#branding > div > div > section > form"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H44.NonExistentFragment","This label's \"for\" attribute contains an ID that does not exist in the document fragment.","warning","<label class=\"assistive-text\" for=\"s\">Search</label>","#branding > div > div > section > form > label"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<label class=\"assistive-text\" for=\"s\">Search</label>","#branding > div > div > section > form > label"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input type=\"text\" placeholder=\"Search\" class=\"s field\" name=\"s\">","#branding > div > div > section > form > input"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","error","<input type=\"text\" placeholder=\"Search\" class=\"s field\" name=\"s\">","#branding > div > div > section > form > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"text\" placeholder=\"Search\" class=\"s field\" name=\"s\">","#branding > div > div > section > form > input"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://carcroftdoctorsgroup.co.uk/\" title=\"Carcroft Health Centre\" rel=\"home\">\n\t\t\t\t\t\t\t\t\tCarcroft Health Centr...</a>","#site-title > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.48:1. Recommendation: change text colour to #595959.","error","<h2 id=\"site-description\">Chestnut Avenue, Carcroft, Donc...</h2>","#site-description"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://carcroftdoctorsgroup.co.uk/wp-content/uploads/2013/05/cropped-IMG_0445-1024x764.jpg\" class=\"header-image\" width=\"1025\" height=\"471\" alt=\"Carcroft Health Centre\">","#branding > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://carcroftdoctorsgroup.co.uk/wp-content/uploads/2013/05/cropped-IMG_0445-1024x764.jpg\" class=\"header-image\" width=\"1025\" height=\"471\" alt=\"Carcroft Health Centre\">","#branding > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.48:1. Recommendation: change text colour to #595959.","error","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=558\">Carcroft Doctors Group and Prin...</a>","#access > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=558\">Carcroft Doctors Group and Prin...</a>","#access > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.48:1. Recommendation: change text colour to #595959.","error","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=519\">Carcroft Doctors Group Statemen...</a>","#access > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=519\">Carcroft Doctors Group Statemen...</a>","#access > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.48:1. Recommendation: change text colour to #595959.","error","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=493\">Code of Practice</a>","#access > div > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=493\">Code of Practice</a>","#access > div > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.48:1. Recommendation: change text colour to #595959.","error","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=550\">Did Not Attend Policy (DNA)</a>","#access > div > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=550\">Did Not Attend Policy (DNA)</a>","#access > div > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.48:1. Recommendation: change text colour to #595959.","error","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=413\">Friends and Family Test</a>","#access > div > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=413\">Friends and Family Test</a>","#access > div > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.48:1. Recommendation: change text colour to #595959.","error","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=19\">Gallery</a>","#access > div > ul > li:nth-child(6) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=19\">Gallery</a>","#access > div > ul > li:nth-child(6) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.48:1. Recommendation: change text colour to #595959.","error","<a href=\"http://carcroftdoctorsgroup.co.uk/?page_id=525\">GP Earnings</a>","#access > div > ul > li:nth-child(7) > a"
