"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Priory Medical Group</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\"><head>\n<meta http-equiv=\"Conten...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<p class=\"change_size_buttons\">Change the text size:   <a href...</p>","#resizeTypeDiv > p"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<p class=\"change_size_buttons\">Change the text size:   <a href...</p>","#resizeTypeDiv > p"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"javascript:NewSize(14)\" class=\"bigA\" title=\"Click to make the text bigger\">A</a>","#resizeTypeDiv > p > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"javascript:NewSize(12)\" class=\"smallA\" title=\"Click to make the text smaller\">A</a>","#resizeTypeDiv > p > a:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"vacancies.html\"><img src=\"images/recruiting_fla...</a>","#recruitFlashDiv > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"vacancies.html\"><img src=\"images/recruiting_fla...</a>","#recruitFlashDiv > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/recruiting_flash03.gif\" width=\"134\" height=\"46\">","#recruitFlashDiv > a > img"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"documents/children_in_need_poster_nov14.pdf\" target=\"_blank\"></a>","#legacyPartnerLogos > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"documents/children_in_need_poster_nov14.pdf\" target=\"_blank\"></a>","#legacyPartnerLogos > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"documents/children_in_need_poster_nov14.pdf\" target=\"_blank\"></a>","#legacyPartnerLogos > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table style=\"position:relative\" border=\"0\" cellspacing=\"0\" cellpadding=\"0\">\n      <tbody><tr>\n        <td ...</table>","#topNavHolder > table"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"images/topnavtopstrip.jpg\" alt=\"top nav top strip\" width=\"846\" height=\"3\">","#topNavHolder > table > tbody > tr:nth-child(1) > td > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/topnavtopstrip.jpg\" alt=\"top nav top strip\" width=\"846\" height=\"3\">","#topNavHolder > table > tbody > tr:nth-child(1) > td > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"images/topnavleftstrip.jpg\" alt=\"top navigation left edge\" width=\"3\" height=\"25\">","#topNavHolder > table > tbody > tr:nth-child(2) > td:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/topnavleftstrip.jpg\" alt=\"top navigation left edge\" width=\"3\" height=\"25\">","#topNavHolder > table > tbody > tr:nth-child(2) > td:nth-child(1) > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.htm\"><img src=\"images/topnav_home_no...</a>","#topNavHolder > table > tbody > tr:nth-child(2) > td:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"images/topnav_home_norm.jpg\" alt=\"home button\" name=\"home_btn\" width=\"140\" height=\"25\" id=\"home_btn\" onmousedown=\"MM_swapImage('home_btn','','images/topnav_home_down.jpg',1)\" onmouseup=\"MM_swapImage('home_btn','','images/topnav_home_over.jp...","#home_btn"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<img src=\"images/topnav_home_norm.jpg\" alt=\"home button\" name=\"home_btn\" width=\"140\" height=\"25\" id=\"home_btn\" onmousedown=\"MM_swapImage('home_btn','','images/topnav_home_down.jpg',1)\" onmouseup=\"MM_swapImage('home_btn','','images/topnav_home_over.jp...","#home_btn"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<img src=\"images/topnav_home_norm.jpg\" alt=\"home button\" name=\"home_btn\" width=\"140\" height=\"25\" id=\"home_btn\" onmousedown=\"MM_swapImage('home_btn','','images/topnav_home_down.jpg',1)\" onmouseup=\"MM_swapImage('home_btn','','images/topnav_home_over.jp...","#home_btn"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseDown","Ensure the functionality provided by mousing down on this element is available through the keyboard; for instance, using the keydown event.","warning","<img src=\"images/topnav_home_norm.jpg\" alt=\"home button\" name=\"home_btn\" width=\"140\" height=\"25\" id=\"home_btn\" onmousedown=\"MM_swapImage('home_btn','','images/topnav_home_down.jpg',1)\" onmouseup=\"MM_swapImage('home_btn','','images/topnav_home_over.jp...","#home_btn"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseUp","Ensure the functionality provided by mousing up on this element is available through the keyboard; for instance, using the keyup event.","warning","<img src=\"images/topnav_home_norm.jpg\" alt=\"home button\" name=\"home_btn\" width=\"140\" height=\"25\" id=\"home_btn\" onmousedown=\"MM_swapImage('home_btn','','images/topnav_home_down.jpg',1)\" onmouseup=\"MM_swapImage('home_btn','','images/topnav_home_over.jp...","#home_btn"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/topnav_home_norm.jpg\" alt=\"home button\" name=\"home_btn\" width=\"140\" height=\"25\" id=\"home_btn\" onmousedown=\"MM_swapImage('home_btn','','images/topnav_home_down.jpg',1)\" onmouseup=\"MM_swapImage('home_btn','','images/topnav_home_over.jp...","#home_btn"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"about_us.html\"><img src=\"images/topnav_aboutUs...</a>","#topNavHolder > table > tbody > tr:nth-child(2) > td:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"images/topnav_aboutUs_norm.jpg\" alt=\"about us button\" name=\"about_us_btn\" width=\"139\" height=\"25\" border=\"0\" id=\"about_us_btn\" onmousedown=\"MM_swapImage('about_us_btn','','images/topnav_aboutUs_down.jpg',1)\" onmouseup=\"MM_swapImage('about_u...","#about_us_btn"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<img src=\"images/topnav_aboutUs_norm.jpg\" alt=\"about us button\" name=\"about_us_btn\" width=\"139\" height=\"25\" border=\"0\" id=\"about_us_btn\" onmousedown=\"MM_swapImage('about_us_btn','','images/topnav_aboutUs_down.jpg',1)\" onmouseup=\"MM_swapImage('about_u...","#about_us_btn"
