"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Kiltearn Medical Centre - Your ...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"navbar-brand\" href=\"https://www.kiltearnmedicalcentre.nhs.uk/\">\n\t\t\t\t\t<div class=\"appointment_t...</a>","#wrapper > nav > div > div:nth-child(1) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button type=\"button\" class=\"navbar-toggle collapsed\" data-toggle=\"collapse\" data-target=\"#bs-example-navbar-collapse-1\">\n\t\t\t\t<span class=\"sr-only\">Togg...</button>","#wrapper > nav > div > div:nth-child(1) > button"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.44:1. Recommendation: change background to #006274.","error","<a href=\"http://www.kiltearnmedicalcentre.nhs.uk/\">Home</a>","#menu-item-695 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.kiltearnmedicalcentre.nhs.uk/\">Home</a>","#menu-item-695 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\">About Us<b class=\"caret\"></b></a>","#menu-item-699 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/about-us/\">About Us</a>","#menu-item-740 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/practice-newsletters/\">Practice Newsletters</a>","#menu-item-897 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/our-staff/\">Our Staff</a>","#menu-item-791 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/statutory-information/\">Statutory Information</a>","#menu-item-741 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/access-to-your-records/\">Access to your Records</a>","#menu-item-744 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/chaperone-policy/\">Chaperone Policy</a>","#menu-item-743 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/compliment-comments-complaints/\">Compliment, Comments &amp; Comp...</a>","#menu-item-745 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/cqc-report/\">CQC Report</a>","#menu-item-767 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/statutory-information/gp-net-earnings/\">GP Net Earnings</a>","#menu-item-742 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/late-arrivals-protocol/\">Late Arrivals Protocol</a>","#menu-item-764 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/no-smoking-policy/\">No Smoking Policy</a>","#menu-item-762 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/patients-rights-responsibilities/\">Patients Rights &amp; Responsib...</a>","#menu-item-763 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/news/\">News</a>","#menu-item-721 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\">Opening Times<b class=\"caret\"><...</a>","#menu-item-696 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/opening-times/\">Opening Times</a>","#menu-item-722 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/extended-hours-appointments/\">Extended Hours Appointments</a>","#menu-item-1510 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/when-we-are-closed/\">When we are closed</a>","#menu-item-723 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/staff-training-closures/\">Staff training closures</a>","#menu-item-724 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\">New Patients<b class=\"caret\"></...</a>","#menu-item-697 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/new-patient-registration/\">New Patient Registration</a>","#menu-item-725 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/temporary-residents/\">Temporary Residents</a>","#menu-item-726 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/non-english-speakers/\">Non-English Speakers</a>","#menu-item-727 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/services-2/\">Services</a>","#menu-item-1357 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/self-care/\">Self Care</a>","#menu-item-999 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/faqs/\">FAQs</a>","#menu-item-765 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.kiltearnmedicalcentre.nhs.uk/contact-us/\">Contact Us</a>","#menu-item-735 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img width=\"1152\" height=\"410\" src=\"https://www.kiltearnmedicalcentre.nhs.uk/wp-content/uploads/sites/12/2017/08/Back-pain-banner.jpg\" class=\"img-responsive wp-post-image\" alt=\"\" srcset=\"https://www.kiltearnmedicalcentre.nhs.uk/wp-content/uploads/sit...","#post-1655 > img"
