"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Middlewich Road Surgery - Your ...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"navbar-brand\" href=\"https://www.middlewichroadsurgery.nhs.uk/\">\n\t\t\t\t\t<div class=\"appointment_t...</a>","#wrapper > nav > div > div:nth-child(1) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button type=\"button\" class=\"navbar-toggle collapsed\" data-toggle=\"collapse\" data-target=\"#bs-example-navbar-collapse-1\">\n\t\t\t\t<span class=\"sr-only\">Togg...</button>","#wrapper > nav > div > div:nth-child(1) > button"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.44:1. Recommendation: change background to #006274.","error","<a href=\"http://www.middlewichroadsurgery.nhs.uk\">Home</a>","#menu-item-661 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.middlewichroadsurgery.nhs.uk\">Home</a>","#menu-item-661 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\">About Us<b class=\"caret\"></b></a>","#menu-item-665 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/about-us/\">About us</a>","#menu-item-710 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/our-staff-2/\">Our Staff</a>","#menu-item-751 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/statutory-information/\">Statutory Information</a>","#menu-item-711 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/complaints/\">Complaints</a>","#menu-item-714 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/cqc-report/\">CQC Report</a>","#menu-item-882 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/patient-charter-2/\">Patient Charter</a>","#menu-item-1146 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/patient-privacy-notice/\">Patient Privacy Notice</a>","#menu-item-1071 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/gp-net-earnings/\">GP Net Earnings</a>","#menu-item-706 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/news/\">News</a>","#menu-item-686 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\">Opening Times<b class=\"caret\"><...</a>","#menu-item-662 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/opening-times/\">Opening Times</a>","#menu-item-687 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/extended-hours-appointments/\">Extended Hours Appointments</a>","#menu-item-1172 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/when-we-are-closed/\">When we are closed</a>","#menu-item-688 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/staff-training-closures/\">Staff training closures</a>","#menu-item-689 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\">New Patients<b class=\"caret\"></...</a>","#menu-item-663 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/new-patient-registration/\">New Patient Registration</a>","#menu-item-690 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/non-english-speakers/\">Non-English Speakers</a>","#menu-item-691 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/temporary-residents/\">Temporary Residents</a>","#menu-item-692 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/services/\">Services</a>","#menu-item-1012 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/self-care/\">Self Care</a>","#menu-item-1216 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/care-hub/\">Care Hub</a>","#menu-item-1314 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/faqs-2/\">FAQs</a>","#menu-item-1036 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.middlewichroadsurgery.nhs.uk/contact-us/\">Contact Us</a>","#menu-item-701 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img width=\"1152\" height=\"410\" src=\"https://www.middlewichroadsurgery.nhs.uk/wp-content/uploads/sites/14/2017/08/Back-pain-banner.jpg\" class=\"img-responsive wp-post-image\" alt=\"\" srcset=\"https://www.middlewichroadsurgery.nhs.uk/wp-content/uploads/sit...","#post-1344 > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img width=\"1152\" height=\"410\" src=\"https://www.middlewichroadsurgery.nhs.uk/wp-content/uploads/sites/14/2017/08/Back-pain-banner.jpg\" class=\"img-responsive wp-post-image\" alt=\"\" srcset=\"https://www.middlewichroadsurgery.nhs.uk/wp-content/uploads/sit...","#post-1344 > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h2 element appears to be the primary document heading, so should be an h1 element.","error","<h2>Struggling with back pain? Thes...</h2>","#post-1344 > div > div:nth-child(1) > h2"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.44:1. Recommendation: change background to #006274.","error","<a href=\"struggling-with-back-pain-these-self-care-techniques-could-help\" class=\"slide-btn-sm\">Find out more</a>","#post-1344 > div > div:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"struggling-with-back-pain-these-self-care-techniques-could-help\" class=\"slide-btn-sm\">Find out more</a>","#post-1344 > div > div:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img width=\"1152\" height=\"410\" src=\"https://www.middlewichroadsurgery.nhs.uk/wp-content/uploads/sites/14/2017/06/Traval-Banner.jpg\" class=\"img-responsive wp-post-image\" alt=\"\" srcset=\"https://www.middlewichroadsurgery.nhs.uk/wp-content/uploads/sites/...","#post-1342 > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img width=\"1152\" height=\"410\" src=\"https://www.middlewichroadsurgery.nhs.uk/wp-content/uploads/sites/14/2017/06/Traval-Banner.jpg\" class=\"img-responsive wp-post-image\" alt=\"\" srcset=\"https://www.middlewichroadsurgery.nhs.uk/wp-content/uploads/sites/...","#post-1342 > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"adventuring-abroad-this-summer-do-you-require-travel-vaccinations-for-your-destination\" class=\"slide-btn-sm\">Read more</a>","#post-1342 > div > div:nth-child(2) > a"
