"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home </title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body text=\"#000000\" style=\"background: #ffffff; text-align:center; height:1600px;\"><div id=\"wp_menubar0_P5\" style=...</body>","html > body"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table cellpadding=\"0\" cellspacing=\"0\"><tbody><tr><td><a href=\"page815...</table>","#wp_menubar0_P5 > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<a href=\"page815.html\" target=\"_self\" id=\"wp_menubar0_P5_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P5_I0"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<a href=\"page815.html\" target=\"_self\" id=\"wp_menubar0_P5_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P5_I0"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<a href=\"page815.html\" target=\"_self\" id=\"wp_menubar0_P5_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P5_I0"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page815.html\" target=\"_self\" id=\"wp_menubar0_P5_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P5_I0"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table cellpadding=\"0\" cellspacing=\"0\"><tbody><tr><td><a href=\"page816...</table>","#wp_menubar0_P8 > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<a href=\"page816.html\" target=\"_self\" id=\"wp_menubar0_P8_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P8_I0"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<a href=\"page816.html\" target=\"_self\" id=\"wp_menubar0_P8_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P8_I0"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<a href=\"page816.html\" target=\"_self\" id=\"wp_menubar0_P8_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P8_I0"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page816.html\" target=\"_self\" id=\"wp_menubar0_P8_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P8_I0"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table cellpadding=\"0\" cellspacing=\"0\"><tbody><tr><td><a href=\"page813...</table>","#wp_menubar0_P9 > table"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<a href=\"page813.html\" target=\"_self\" id=\"wp_menubar0_P9_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I0"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<a href=\"page813.html\" target=\"_self\" id=\"wp_menubar0_P9_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I0"
