"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Rosedale Surgery</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<a href=\"https://www.rosedalesurgery.co.uk/\">Rosedale Surgery</a>","html > body > div:nth-child(2) > header > div > div:nth-child(1) > p:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/\">Rosedale Surgery</a>","html > body > div:nth-child(2) > header > div > div:nth-child(1) > p:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<p class=\"site-description\" itemprop=\"description\">GP Surgery in Lowestoft</p>","html > body > div:nth-child(2) > header > div > div:nth-child(1) > p:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/systmonline-patient-online-access/\" itemprop=\"url\"><span itemprop=\"name\">Online Ac...</a>","#menu-item-1828 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/\" itemprop=\"url\"><span itemprop=\"name\">Clinics &...</a>","#menu-item-1244 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/opening-times/\" itemprop=\"url\"><span itemprop=\"name\">Opening a...</a>","#menu-item-1425 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/one-life-suffolk/\" itemprop=\"url\"><span itemprop=\"name\">One Life ...</a>","#menu-item-1798 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/clinics/\" itemprop=\"url\"><span itemprop=\"name\">Our Clini...</a>","#menu-item-1266 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/family-planning/\" itemprop=\"url\"><span itemprop=\"name\">Family Pl...</a>","#menu-item-1607 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/appointments-with-the-doctors/\" itemprop=\"url\"><span itemprop=\"name\">Appointme...</a>","#menu-item-1245 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/house-calls/\" itemprop=\"url\"><span itemprop=\"name\">Home Visi...</a>","#menu-item-1247 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/blood-tests-and-results/\" itemprop=\"url\"><span itemprop=\"name\">Blood Tes...</a>","#menu-item-1470 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.rosedalesurgery.co.uk/clinics-and-services/repeat-prescription-requests/\" itemprop=\"url\"><span itemprop=\"name\">Repeat Pr...</a>","#menu-item-1246 > a"
