"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.1.EmptyTitle","The title element in the head section should be non-empty.","error","<title> </title>","html > head > title:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID","This link points to a named anchor \"null\" within the document, but no anchor exists with that name.","error","<a href=\"#null\" data-cc-event=\"click:dismiss\" target=\"_blank\" class=\"cc_btn cc_btn_accept_all\">I Accept</a>","html > body > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#null\" data-cc-event=\"click:dismiss\" target=\"_blank\" class=\"cc_btn cc_btn_accept_all\">I Accept</a>","html > body > div:nth-child(1) > div > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"#null\" data-cc-event=\"click:dismiss\" target=\"_blank\" class=\"cc_btn cc_btn_accept_all\">I Accept</a>","html > body > div:nth-child(1) > div > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.05:1. Recommendation: change background to #141414.","error","<a class=\"cc_more_info\" data-cc-if=\"options.link\" target=\"_self\" href=\"http://gvmdp.co.uk/cookie-notice/\" rel=\"noindex, nofollow, noopener\">Read More</a>","html > body > div:nth-child(1) > div > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"cc_more_info\" data-cc-if=\"options.link\" target=\"_self\" href=\"http://gvmdp.co.uk/cookie-notice/\" rel=\"noindex, nofollow, noopener\">Read More</a>","html > body > div:nth-child(1) > div > p > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img style=\"max-width:100%; width:100%;\" src=\"http://gvmdp.co.uk/wp-content/uploads/2015/09/new-logo.png\">","html > body > div:nth-child(2) > div:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img style=\"max-width:100%; width:100%;\" src=\"http://gvmdp.co.uk/wp-content/uploads/2015/09/new-logo.png\">","html > body > div:nth-child(2) > div:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span style=\"color: #004B8F; font-weight: bold; font-size:17px;\">Book Medical Appointment</span>","html > body > div:nth-child(2) > div:nth-child(2) > span:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span style=\"color: #004B8F; font-weight: bold; font-size:1.8em; letter-spacing:0.1em; text-align:center;\">01663 735 112</span>","html > body > div:nth-child(2) > div:nth-child(2) > span:nth-child(3)"
