"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img data-src=\"/mt-content/uploads/2017/01/thumbnails/transparent-logo_5874e2198d264_s_88x125.png\" class=\"moto-widget-image-picture lazyloaded\" data-id=\"709\" title=\"\" alt=\"\" draggable=\"false\" src=\"/mt-content/uploads/2017/01/thumbnails/transparent-lo...","#section-header > div:nth-child(1) > div > div > div > div:nth-child(1) > div > div > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img data-src=\"/mt-content/uploads/2017/01/thumbnails/transparent-logo_5874e2198d264_s_88x125.png\" class=\"moto-widget-image-picture lazyloaded\" data-id=\"709\" title=\"\" alt=\"\" draggable=\"false\" src=\"/mt-content/uploads/2017/01/thumbnails/transparent-lo...","#section-header > div:nth-child(1) > div > div > div > div:nth-child(1) > div > div > img"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"#\" class=\"moto-widget-menu-toggle-btn\"><i class=\"moto-widget-menu-togg...</a>","#section-header > div:nth-child(2) > div > div > div > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"moto-widget-menu-toggle-btn\"><i class=\"moto-widget-menu-togg...</a>","#section-header > div:nth-child(2) > div > div > div > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/\" data-action=\"page\" class=\"moto-widget-menu-link moto-widget-menu-link-level-1 moto-widget-menu-link-active moto-link\">Home</a>","#section-header > div:nth-child(2) > div > div > div > div:nth-child(1) > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/landing-page-robin-lane/\" data-action=\"page\" class=\"moto-widget-menu-link moto-widget-menu-link-level-1 moto-widget-menu-link-submenu moto-link\">GP Practice<span class=\"fa moto...</a>","#section-header > div:nth-child(2) > div > div > div > div:nth-child(1) > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/landing-page-robin-lane/\" data-action=\"page\" class=\"moto-widget-menu-link moto-widget-menu-link-level-2 moto-link\">Practice home page</a>","#section-header > div:nth-child(2) > div > div > div > div:nth-child(1) > div > ul > li:nth-child(2) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://systmonline.tpp-uk.com/2/Login?PracticeId=A12345&amp;Date=20160508175051\" data-action=\"url\" class=\"moto-widget-menu-link moto-widget-menu-link-level-2 moto-link\">Patient Login</a>","#section-header > div:nth-child(2) > div > div > div > div:nth-child(1) > div > ul > li:nth-child(2) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/our-services/\" data-action=\"page\" class=\"moto-widget-menu-link moto-widget-menu-link-level-2 moto-link\">Our services</a>","#section-header > div:nth-child(2) > div > div > div > div:nth-child(1) > div > ul > li:nth-child(2) > ul > li:nth-child(3) > a"
