"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>The Bradford Moor Practice – Br...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img width=\"827\" height=\"230\" src=\"http://bradfordmoorpractice.co.uk/wp-content/uploads/2018/11/5.png\" class=\"attachment-large size-large\" alt=\"\" srcset=\"http://bradfordmoorpractice.co.uk/wp-content/uploads/2018/11/5.png 827w, http://bradfordmoorprac...","#main > div > div > div > section:nth-child(1) > div > div > div > div > div > div > div > div > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img width=\"827\" height=\"230\" src=\"http://bradfordmoorpractice.co.uk/wp-content/uploads/2018/11/5.png\" class=\"attachment-large size-large\" alt=\"\" srcset=\"http://bradfordmoorpractice.co.uk/wp-content/uploads/2018/11/5.png 827w, http://bradfordmoorprac...","#main > div > div > div > section:nth-child(1) > div > div > div > div > div > div > div > div > img"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title attribute, element content, aria-label attribute, aria-labelledby attribute.","error","<button id=\"elementor-menu-toggle\" class=\"elementor-menu-toggle\" aria-expanded=\"false\"><i class=\"fa fa-navicon\"></i></button>","#elementor-menu-toggle"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button id=\"elementor-menu-toggle\" class=\"elementor-menu-toggle\" aria-expanded=\"false\"><i class=\"fa fa-navicon\"></i></button>","#elementor-menu-toggle"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.98:1. Recommendation: change text colour to #feffff.","error","<a href=\"http://bradfordmoorpractice.co.uk/\" aria-current=\"page\">Home</a>","#menu-item-2096 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bradfordmoorpractice.co.uk/\" aria-current=\"page\">Home</a>","#menu-item-2096 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.98:1. Recommendation: change text colour to #feffff.","error","<a href=\"http://bradfordmoorpractice.co.uk/practice-staff/\">The Team</a>","#menu-item-2095 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bradfordmoorpractice.co.uk/practice-staff/\">The Team</a>","#menu-item-2095 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.98:1. Recommendation: change text colour to #feffff.","error","<a href=\"http://bradfordmoorpractice.co.uk#services\" aria-current=\"page\">NHS Services</a>","#menu-item-2149 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bradfordmoorpractice.co.uk#services\" aria-current=\"page\">NHS Services</a>","#menu-item-2149 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.98:1. Recommendation: change text colour to #feffff.","error","<a href=\"http://bradfordmoorpractice.co.uk/practice-polices/\">Practice Polices</a>","#menu-item-2093 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bradfordmoorpractice.co.uk/practice-polices/\">Practice Polices</a>","#menu-item-2093 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.98:1. Recommendation: change text colour to #feffff.","error","<a href=\"http://bradfordmoorpractice.co.uk/ppg/\">PPG</a>","#menu-item-2270 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bradfordmoorpractice.co.uk/ppg/\">PPG</a>","#menu-item-2270 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.98:1. Recommendation: change text colour to #feffff.","error","<a href=\"http://bradfordmoorpractice.co.uk/non-nhsservices/\">Non-NHS Services</a>","#menu-item-2094 > a"
