"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home | Bevan Healthcare</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div class=\"tm-page-loader-wrapper\" style=\"background-image: url(https://bevanhealthcare.co.uk/wp-content/themes/apicona/images/loader11.gif); background-color: rgb(255, 255, 255); opacity: 0.8740148994516913; background-position: 50% 50%; background...","html > body > div:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.31:1. Recommendation: change background to #00607c.","error","<li><i class=\"kwicon-fa-phone\"></i>...</li>","#masthead > div:nth-child(1) > div > div > div > div:nth-child(1) > ul > li"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.31:1. Recommendation: change background to #00607c.","error","<strong>01274 322400</strong>","#masthead > div:nth-child(1) > div > div > div > div:nth-child(1) > ul > li > strong"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a target=\"_blank\" href=\"https://bevanhealthcare.co.uk/feed/\" class=\"hint--bottom\" data-hint=\"RSS\"><i class=\"tm-social-icon-rss\"><...</a>","#masthead > div:nth-child(1) > div > div > div > div:nth-child(2) > div > ul > li > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a target=\"_blank\" href=\"https://bevanhealthcare.co.uk/feed/\" class=\"hint--bottom\" data-hint=\"RSS\"><i class=\"tm-social-icon-rss\"><...</a>","#masthead > div:nth-child(1) > div > div > div > div:nth-child(2) > div > ul > li > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a target=\"_blank\" href=\"https://bevanhealthcare.co.uk/feed/\" class=\"hint--bottom\" data-hint=\"RSS\"><i class=\"tm-social-icon-rss\"><...</a>","#masthead > div:nth-child(1) > div > div > div > div:nth-child(2) > div > ul > li > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.31:1. Recommendation: change background to #00607c.","error","<a href=\"https://bevanhealthcare.co.uk/\">Back To Main Site</a>","#masthead > div:nth-child(1) > div > div > div > div:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://bevanhealthcare.co.uk/\">Back To Main Site</a>","#masthead > div:nth-child(1) > div > div > div > div:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"home-link\" href=\"https://bevanhealthcare.co.uk/\" title=\"Bevan Healthcare\" rel=\"home\">\n\t\t\t\t\t\t\t\t<img class=\"thememount...</a>","#stickable-header > div > div > div:nth-child(1) > h1 > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"thememount-logo-img standardlogo\" src=\"https://bevanhealthcare.co.uk/wp-content/uploads/2018/04/bevan_logo-2015-.png\" alt=\"Bevan Healthcare\" width=\"1080\" height=\"986\">","#stickable-header > div > div > div:nth-child(1) > h1 > a > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"thememount-logo-img standardlogo\" src=\"https://bevanhealthcare.co.uk/wp-content/uploads/2018/04/bevan_logo-2015-.png\" alt=\"Bevan Healthcare\" width=\"1080\" height=\"986\">","#stickable-header > div > div > div:nth-child(1) > h1 > a > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"thememount-logo-img stickylogo\" src=\"https://bevanhealthcare.co.uk/wp-content/uploads/2018/04/bevan_logo-2015-.png\" alt=\"Bevan Healthcare\" width=\"1080\" height=\"986\">","#stickable-header > div > div > div:nth-child(1) > h1 > a > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"thememount-logo-img stickylogo\" src=\"https://bevanhealthcare.co.uk/wp-content/uploads/2018/04/bevan_logo-2015-.png\" alt=\"Bevan Healthcare\" width=\"1080\" height=\"986\">","#stickable-header > div > div > div:nth-child(1) > h1 > a > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","error","<h2 class=\"site-description\">\n\t\t\t\t  \t\t\t\t</h2>","#stickable-header > div > div > div:nth-child(1) > h2"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"#\"><i class=\"fa fa-search\"></i></a>","#site-navigation > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\"><i class=\"fa fa-search\"></i></a>","#site-navigation > div:nth-child(1) > div > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<span>Toggle menu</span>","#site-navigation > h3 > span"
