"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Web Hosting, Reseller Hosting &...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\"><head>\n<meta http-equiv=\"Conten...</html>","html"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form id=\"form1\" name=\"form1\" method=\"get\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\">\n                \t<input name=\"...</form>","#form1"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form id=\"form1\" name=\"form1\" method=\"get\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\">\n                \t<input name=\"...</form>","#form1"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form id=\"form1\" name=\"form1\" method=\"get\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\">\n                \t<input name=\"...</form>","#form1"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form id=\"form1\" name=\"form1\" method=\"get\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\">\n                \t<input name=\"...</form>","#form1"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form id=\"form1\" name=\"form1\" method=\"get\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\">\n                \t<input name=\"...</form>","#form1"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H36","Image submit button missing an alt attribute. Specify a text alternative that describes the button's function, using the alt attribute.","error","<input name=\"\" type=\"image\" src=\"http://customer.heartinternet.uk/images/holdingpage/new/btn_search.png\">","#form1 > input:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputImage.Name","This image input element does not have a name available to an accessibility API. Valid names are: alt attribute, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input name=\"\" type=\"image\" src=\"http://customer.heartinternet.uk/images/holdingpage/new/btn_search.png\">","#form1 > input:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input name=\"\" type=\"image\" src=\"http://customer.heartinternet.uk/images/holdingpage/new/btn_search.png\">","#form1 > input:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"form1\" found on the web page.","error","<input id=\"form1\" name=\"domain\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\" value=\"Domain Name Search...\" onclick=\"this.value=''\" class=\"search\">","#form1"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input id=\"form1\" name=\"domain\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\" value=\"Domain Name Search...\" onclick=\"this.value=''\" class=\"search\">","#form1"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","error","<input id=\"form1\" name=\"domain\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\" value=\"Domain Name Search...\" onclick=\"this.value=''\" class=\"search\">","#form1"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input id=\"form1\" name=\"domain\" action=\"http://www.heartinternet.uk/domain-names/domain-search.html\" value=\"Domain Name Search...\" onclick=\"this.value=''\" class=\"search\">","#form1"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://forwards.heartinternet.uk/images/logo.png\" width=\"284\" height=\"46\" alt=\"Heart Internet\" class=\"logo\">","#header > img"
