"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>The Hackwood Partnership</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"https://www.hackwoodpartnership.co.uk/\" title=\"The Hackwood Partnership\">The Hackwood Partnership</a>","#login > h1 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.hackwoodpartnership.co.uk/\" title=\"The Hackwood Partnership\">The Hackwood Partnership</a>","#login > h1 > a"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form name=\"loginform\" id=\"loginform\" action=\"https://www.hackwoodpartnership.co.uk/?password-protected=login\" method=\"post\">\n\t\t<p>\n\t\t\t<label for=\"password_...</form>","#loginform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form name=\"loginform\" id=\"loginform\" action=\"https://www.hackwoodpartnership.co.uk/?password-protected=login\" method=\"post\">\n\t\t<p>\n\t\t\t<label for=\"password_...</form>","#loginform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form name=\"loginform\" id=\"loginform\" action=\"https://www.hackwoodpartnership.co.uk/?password-protected=login\" method=\"post\">\n\t\t<p>\n\t\t\t<label for=\"password_...</form>","#loginform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form name=\"loginform\" id=\"loginform\" action=\"https://www.hackwoodpartnership.co.uk/?password-protected=login\" method=\"post\">\n\t\t<p>\n\t\t\t<label for=\"password_...</form>","#loginform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form name=\"loginform\" id=\"loginform\" action=\"https://www.hackwoodpartnership.co.uk/?password-protected=login\" method=\"post\">\n\t\t<p>\n\t\t\t<label for=\"password_...</form>","#loginform"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"password\" name=\"password_protected_pwd\" id=\"password_protected_pass\" class=\"input\" value=\"\" size=\"20\" tabindex=\"20\">","#password_protected_pass"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"submit\" name=\"wp-submit\" id=\"wp-submit\" class=\"button button-primary button-large\" value=\"Log In\" tabindex=\"100\">","#wp-submit"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"testcookie\" value=\"1\">","#loginform > p:nth-child(2) > input:nth-child(2)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"password-protected\" value=\"login\">","#loginform > p:nth-child(2) > input:nth-child(3)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"redirect_to\" value=\"https://www.hackwoodpartnership.co.uk/\">","#loginform > p:nth-child(2) > input:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"stylesheet\" id=\"formidable-css\" href=\"https://www.gpwebsolutions-host.co.uk/15976/wp-admin/admin-ajax.php?action=frmpro_css&amp;ver=6201017\" type=\"text/css\" media=\"all\">","#formidable-css"
