"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Sheffield Medical Centre - Home</title>","html > head > title"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.Placeholder","Anchor element found with link content, but no href, ID or name attribute has been supplied.","warning","<a title=\"Expand/collapse navigation\">Expand/collapse navigation</a>","#diyfeMobileNav > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Expand/collapse navigation\">Expand/collapse navigation</a>","#diyfeMobileNav > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1639573\" href=\"http://www.sheffieldmedicalcentre.co.uk/\" class=\"current level_1\"><span>Home</span></a>","#diyfeMobileNav > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1639574\" href=\"http://www.sheffieldmedicalcentre.co.uk/about-us/\" class=\" level_1\"><span>About Us</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"2000010\" href=\"http://www.sheffieldmedicalcentre.co.uk/about-us/about-the-practice/\" class=\" level_2\"><span>About the practice</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"2051481\" href=\"http://www.sheffieldmedicalcentre.co.uk/about-us/practice-disclosure/\" class=\" level_2\"><span>Practice Disclosure</span...</a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1660198\" href=\"http://www.sheffieldmedicalcentre.co.uk/about-us/practice-location-area/\" class=\" level_2\"><span>Practice Location &amp; A...</a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1660199\" href=\"http://www.sheffieldmedicalcentre.co.uk/about-us/doctors/\" class=\" level_2\"><span>Doctors</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1660200\" href=\"http://www.sheffieldmedicalcentre.co.uk/about-us/practice-staff/\" class=\" level_2\"><span>Practice Staff</span></a>","#diyfeMobileNav > ul > li:nth-child(2) > div > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1639575\" href=\"http://www.sheffieldmedicalcentre.co.uk/staff/\" class=\" level_1\"><span>Staff</span></a>","#diyfeMobileNav > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1639576\" href=\"http://www.sheffieldmedicalcentre.co.uk/services/\" class=\" level_1\"><span>Services</span></a>","#diyfeMobileNav > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1660201\" href=\"http://www.sheffieldmedicalcentre.co.uk/services/clinics/\" class=\" level_2\"><span>Clinics</span></a>","#diyfeMobileNav > ul > li:nth-child(4) > div > ul > li > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a data-page-id=\"1639577\" href=\"http://www.sheffieldmedicalcentre.co.uk/clinic-times/\" class=\" level_1\"><span>Clinic Times</span></a>","#diyfeMobileNav > ul > li:nth-child(5) > a"
