"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Buchanan Road Surgery</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html><!-- InstanceBegin template=\"/T...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body bgcolor=\"#535353\" leftmargin=\"0\" topmargin=\"0\" marginwidth=\"0\" marginheight=\"0\" style=\"margin:0px\" onload=\"MM_preloadImages('images/navbar/navbar_r1_c1_f2.gif','images/navbar/navbar_r2_c1_f2.gif','images/navbar/navbar_r3_c1_f2.gif','images/navb...","html > body"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table width=\"100%\" border=\"0\" cellspacing=\"0\" cellpadding=\"0\"> \n\t\t<tbody><tr> \n\t\t  <td bgcolo...</table>","html > body > table:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td bgcolor=\"#535353\"><img src=\"images/trans1.gif\" wi...</td>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"images/trans1.gif\" width=\"25\" height=\"7\" border=\"0\">","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/trans1.gif\" width=\"25\" height=\"7\" border=\"0\">","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td bgcolor=\"#000000\"><img src=\"images/trans1.gif\" wi...</td>","html > body > table:nth-child(1) > tbody > tr:nth-child(2) > td"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"images/trans1.gif\" width=\"25\" height=\"1\" border=\"0\">","html > body > table:nth-child(1) > tbody > tr:nth-child(2) > td > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/trans1.gif\" width=\"25\" height=\"1\" border=\"0\">","html > body > table:nth-child(1) > tbody > tr:nth-child(2) > td > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td bgcolor=\"#7A7A7A\"><img src=\"images/trans1.gif\" wi...</td>","html > body > table:nth-child(1) > tbody > tr:nth-child(3) > td"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"images/trans1.gif\" width=\"25\" height=\"2\" border=\"0\">","html > body > table:nth-child(1) > tbody > tr:nth-child(3) > td > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/trans1.gif\" width=\"25\" height=\"2\" border=\"0\">","html > body > table:nth-child(1) > tbody > tr:nth-child(3) > td > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<td bgcolor=\"#404040\" background=\"images/topbg1.gif\" width=\"100%\" valign=\"TOP\"><script type=\"text/javascript\">...</td>","html > body > table:nth-child(1) > tbody > tr:nth-child(4) > td"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<embed width=\"570\" height=\"47\" src=\"images/topflash1.swf\" menu=\"false\" quality=\"high\" bgcolor=\"#000000\" pluginspage=\"http://www.macromedia.com/shockwave/download/index.cgi?P1_Prod_Version=ShockwaveFlash\" type=\"application/x-shockwave-flash\">","html > body > table:nth-child(1) > tbody > tr:nth-child(4) > td > embed"
