"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>high-lane-medical</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div id=\"SITE_BACKGROUND_current_customBgImgj4g\" style=\"top:0;height:100%;width:100%;background-color:rgba(204, 255, 204, 1);display:;position:absolute\" data-position=\"absolute\" data-align=\"center\" data-fitting=\"fill\" class=\"siteBackgroundcurrent\"><d...","#SITE_BACKGROUND_current_customBgImgj4g"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94,G92.Object,ARIA6","Check that short (and if appropriate, long) text alternatives are available for non-text content that serve the same purpose and present the same information.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_2.1_2_1.G158","If this embedded object contains pre-recorded audio only, and is not provided as an alternative for text content, check that an alternative text version is available.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_2.1_2_1.G159,G166","If this embedded object contains pre-recorded video only, and is not provided as an alternative for text content, check that an alternative text version is available, or an audio track is provided that presents equivalent information.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_2.1_2_2.G87,G93","If this embedded object contains pre-recorded synchronised media and is not provided as an alternative for text content, check that captions are provided for audio content.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_2.1_2_4.G9,G87,G93","If this embedded object contains synchronised media, check that captions are provided for live audio content.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_2.1_2_5.G78,G173,G8","If this embedded object contains pre-recorded synchronised media, check that an audio description is provided for its video content.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_2.1_2_6.G54,G81","If this embedded object contains pre-recorded synchronised media, check that a sign language interpretation is provided for its audio.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_2.1_2_7.G8","If this embedded object contains synchronised media, and where pauses in foreground audio is not sufficient to allow audio descriptions to convey the sense of pre-recorded video, check that an extended audio description is provided, either through scripting or an alternate version.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_2.1_2_8.G69,G159","If this embedded object contains pre-recorded synchronised media or video-only content, check that an alternative text version of the content is provided.","notice","<object height=\"0\"><a class=\"auto-generated-link\" ...</object>","#WRchTxt0-16wb > p > object:nth-child(1)"
