"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Colne Family Doctors – Colne He...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":2.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:2.container"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" itemprop=\"url\"><span class=\"avia-bullet\"></spa...</a>","#menu-item-3107 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://colnefamilydoctors.com/about-us/overview/\" itemprop=\"url\"><span class=\"avia-bullet\"></spa...</a>","#menu-item-3394 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://colnefamilydoctors.com/about-us/practice-aims/\" itemprop=\"url\"><span class=\"avia-bullet\"></spa...</a>","#menu-item-3106 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://colnefamilydoctors.com/about-us/what-we-have-achieved/\" itemprop=\"url\"><span class=\"avia-bullet\"></spa...</a>","#menu-item-3659 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" itemprop=\"url\"><span class=\"avia-bullet\"></spa...</a>","#menu-item-3057 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://colnefamilydoctors.com/surgery-timings/opening-hours/\" itemprop=\"url\"><span class=\"avia-bullet\"></spa...</a>","#menu-item-2324 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://colnefamilydoctors.com/surgery-timings/when-we-are-closed/\" itemprop=\"url\"><span class=\"avia-bullet\"></spa...</a>","#menu-item-3058 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" itemprop=\"url\"><span class=\"avia-bullet\"></spa...</a>","#menu-item-3031 > a"
