"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>James Cochrane Practice - GP Su...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"https://www.jamescochranepractice.co.uk\"><img src=\"https://www.jamescoch...</a>","#logo > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.jamescochranepractice.co.uk\"><img src=\"https://www.jamescoch...</a>","#logo > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.jamescochranepractice.co.uk/wp-content/themes/custom/images/logo/desktop-logo.png\">","#logo > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"https://www.patientaccess.com/\" target=\"_blank\" rel=\"nofollow\" class=\"pa-logo\"><img src=\"https://www.jamescoch...</a>","#header-content > div:nth-child(2) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.patientaccess.com/\" target=\"_blank\" rel=\"nofollow\" class=\"pa-logo\"><img src=\"https://www.jamescoch...</a>","#header-content > div:nth-child(2) > div:nth-child(1) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"https://www.patientaccess.com/\" target=\"_blank\" rel=\"nofollow\" class=\"pa-logo\"><img src=\"https://www.jamescoch...</a>","#header-content > div:nth-child(2) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.jamescochranepractice.co.uk/wp-content/themes/custom/images/pa-logo-2018.svg\">","#header-content > div:nth-child(2) > div:nth-child(1) > a > img"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a target=\"_blank\" href=\"https://www.facebook.com/TheJamesCochranePractice/\"><i class=\"fa fa-facebook\"></i></a>","#header-content > div:nth-child(2) > div:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a target=\"_blank\" href=\"https://www.facebook.com/TheJamesCochranePractice/\"><i class=\"fa fa-facebook\"></i></a>","#header-content > div:nth-child(2) > div:nth-child(2) > a"
