"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home</title>","html > head > title"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"/\" id=\"rt-logo\"></a>","#rt-logo"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/\" id=\"rt-logo\"></a>","#rt-logo"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" title=\"Login Form\" class=\"buttontext\" rel=\"rokbox[215 320][module=rt-popup]\">\n\t    \n\t\t\t\t<span>User Login</sp...</a>","#rt-login-button > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span>User Login</span>","#rt-login-button > a > span"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"/index.php\" method=\"post\">\n\t<div class=\"search\">\n\t\t<label...</form>","#rt-top > div > div:nth-child(2) > div:nth-child(3) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"/index.php\" method=\"post\">\n\t<div class=\"search\">\n\t\t<label...</form>","#rt-top > div > div:nth-child(2) > div:nth-child(3) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"/index.php\" method=\"post\">\n\t<div class=\"search\">\n\t\t<label...</form>","#rt-top > div > div:nth-child(2) > div:nth-child(3) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"/index.php\" method=\"post\">\n\t<div class=\"search\">\n\t\t<label...</form>","#rt-top > div > div:nth-child(2) > div:nth-child(3) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"/index.php\" method=\"post\">\n\t<div class=\"search\">\n\t\t<label...</form>","#rt-top > div > div:nth-child(2) > div:nth-child(3) > form"
