"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>\n            Roxbourne Medical ...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":2.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:2.container"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/\" title=\"Roxbourne Medical Centre\" rel=\"home\">\n                    <div id=\"h...</a>","#brand-header > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img class=\"wp-image-2973 alignnone\" style=\"vertical-align: middle;\" src=\"http://roxbournemc.siliconpreview.co.uk/wp-content/uploads/2018/09/without-line300.png\" alt=\"\" width=\"250\" height=\"85\">","#header-site-name > p > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"wp-image-2973 alignnone\" style=\"vertical-align: middle;\" src=\"http://roxbournemc.siliconpreview.co.uk/wp-content/uploads/2018/09/without-line300.png\" alt=\"\" width=\"250\" height=\"85\">","#header-site-name > p > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.cqc.org.uk/location/1-545557983\" target=\"_blank\">CQC Inspected and Rated<p></p>\n...</a>","#header-cqc-rating > div > div:nth-child(1) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"https://www.cqc.org.uk/location/1-545557983\" target=\"_blank\">CQC Inspected and Rated<p></p>\n...</a>","#header-cqc-rating > div > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.cqc.org.uk/location/1-545557983\" target=\"_blank\"><strong>Requires Improvement</s...</a>","#header-cqc-rating > div > div:nth-child(1) > p > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"https://www.cqc.org.uk/location/1-545557983\" target=\"_blank\"><strong>Requires Improvement</s...</a>","#header-cqc-rating > div > div:nth-child(1) > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.harrowccg.nhs.uk/\" target=\"_blank\"><img class=\"ccg-logo-page\" styl...</a>","#ccg-branding > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"http://www.harrowccg.nhs.uk/\" target=\"_blank\"><img class=\"ccg-logo-page\" styl...</a>","#ccg-branding > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img class=\"ccg-logo-page\" style=\"width:300px!important\" src=\"https://roxbournemc.com/wp-content/themes/roxbournemc/images/Harrow-CCG.jpg\" alt=\"NHS Harrow CCG\">","#ccg-branding > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"ccg-logo-page\" style=\"width:300px!important\" src=\"https://roxbournemc.com/wp-content/themes/roxbournemc/images/Harrow-CCG.jpg\" alt=\"NHS Harrow CCG\">","#ccg-branding > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"https://www.google.com/images/cleardot.gif\" class=\"goog-te-gadget-icon\" alt=\"\" style=\"background-image: url(https://translate.googleapis.com/translate_static/img/te_ctrl3.gif); background-position: -65px 0px;\">","#:0.targetLanguage > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<img src=\"https://www.google.com/images/cleardot.gif\" class=\"goog-te-gadget-icon\" alt=\"\" style=\"background-image: url(https://translate.googleapis.com/translate_static/img/te_ctrl3.gif); background-position: -65px 0px;\">","#:0.targetLanguage > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.google.com/images/cleardot.gif\" class=\"goog-te-gadget-icon\" alt=\"\" style=\"background-image: url(https://translate.googleapis.com/translate_static/img/te_ctrl3.gif); background-position: -65px 0px;\">","#:0.targetLanguage > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a aria-haspopup=\"true\" class=\"goog-te-menu-value\" href=\"javascript:void(0)\"><span>选择语言</span><img src=\"http...</a>","#:0.targetLanguage > span > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"https://www.google.com/images/cleardot.gif\" alt=\"\" width=\"1\" height=\"1\">","#:0.targetLanguage > span > a > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.google.com/images/cleardot.gif\" alt=\"\" width=\"1\" height=\"1\">","#:0.targetLanguage > span > a > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"https://www.google.com/images/cleardot.gif\" alt=\"\" width=\"1\" height=\"1\">","#:0.targetLanguage > span > a > img:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.google.com/images/cleardot.gif\" alt=\"\" width=\"1\" height=\"1\">","#:0.targetLanguage > span > a > img:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/\">Home</a>","#menu-item-12 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/\">Team</a>","#menu-item-105 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/\">Opening Times</a>","#menu-item-2847 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-info/\">Practice Info</a>","#menu-item-103 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/\">Practice Services</a>","#menu-item-106 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/prescriptions/\">Prescriptions</a>","#menu-item-107 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/new-patients/\">New Patients</a>","#menu-item-2852 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/contact-us/\">Contact Us</a>","#menu-item-14 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/downloadableresources/\">Downloadable Resourses</a>","#menu-item-3177 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a target=\"_blank\" href=\"https://www.myhealth.london.nhs.uk/services\">Local Services</a>","#menu-item-2619 > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a target=\"_blank\" href=\"https://www.myhealth.london.nhs.uk/services\">Local Services</a>","#menu-item-2619 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/accessibility/\">Accessibility</a>","#menu-item-2788 > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"navbar\" found on the web page.","error","<div id=\"navbar\" class=\"navbar\">\n                    <nav id=\"s...</div>","#navbar"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/\">Home</a>","#menu-main-menu-1 > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.36:1. Recommendation: change background to #a03400.","error","<a href=\"https://roxbournemc.com/team/\">Team</a>","#menu-main-menu-1 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/\">Team</a>","#menu-main-menu-1 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/gp-associates/\">GP Principal</a>","#menu-item-175 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/salaried-gps-and-gp-registrars/\">GPs, Salaried GPs and GP Regist...</a>","#menu-item-181 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/nursing-team/\">Nursing Team</a>","#menu-item-1182 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/health-care-assistants/\">Health Care Assistants</a>","#menu-item-1183 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/practice-management/\">Practice Management</a>","#menu-item-187 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/reception-team/\">Reception Team</a>","#menu-item-827 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/administration-team/\">Administration Team</a>","#menu-item-957 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/team/attached-staff/\">Attached Staff</a>","#menu-item-3135 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.36:1. Recommendation: change background to #a03400.","error","<a href=\"https://roxbournemc.com/appointments/\">Opening Times</a>","#menu-main-menu-1 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/\">Opening Times</a>","#menu-main-menu-1 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/opening-times/\">Appointments</a>","#menu-item-2895 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/emergency-ae-eye-emergency/\">A&amp;E</a>","#menu-item-2894 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/cancelling-your-appointment/\">Cancelling Your Appointment</a>","#menu-item-225 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/gp-access-centres/\">GP Access Centres</a>","#menu-item-2893 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/home-visits/\">Home Visits</a>","#menu-item-230 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/nhs-e-referral-appointments/\">NHS e-Referral Appointments</a>","#menu-item-3139 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/out-of-hours/\">Out of Hours and Walk-in Centre</a>","#menu-item-239 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/self-care/\">Self Care</a>","#menu-item-2357 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/appointments/urgent-care-centres/\">Urgent Care Centres</a>","#menu-item-2263 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.36:1. Recommendation: change background to #a03400.","error","<a href=\"https://roxbournemc.com/practice-info/\">Practice Info</a>","#menu-main-menu-1 > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-info/\">Practice Info</a>","#menu-main-menu-1 > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-info/our-facilities/\">Our Facilities</a>","#menu-item-3136 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-info/our-policies/\">Our Policies</a>","#menu-item-208 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-info/patient-participation-forum/\">Patient Participation Group</a>","#menu-item-537 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-info/friend-and-family-test/\">Friends and Family Test</a>","#menu-item-554 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-info/referrals/\">Referrals</a>","#menu-item-2896 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.36:1. Recommendation: change background to #a03400.","error","<a href=\"https://roxbournemc.com/practice-services/\">Practice Services</a>","#menu-main-menu-1 > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/\">Practice Services</a>","#menu-main-menu-1 > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/surgery-clinics/\">Our Clinics</a>","#menu-item-992 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/cancer-screening/\">Cancer Screening</a>","#menu-item-1708 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/childrens-health/\">Children’s Health</a>","#menu-item-1916 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/planning-a-family/\">Family Planning</a>","#menu-item-202 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/managing-chronic-diseases/\">Managing Chronic Diseases</a>","#menu-item-193 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/mens-health/\">Men’s Health</a>","#menu-item-199 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/minor-surgery/\">Minor Surgery</a>","#menu-item-1352 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/nhs-health-checks/\">NHS Health Checks</a>","#menu-item-1353 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/private-services-list-and-fees/\">Private Services List and Fees</a>","#menu-item-2102 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/sickness-certificates/\">Sickness Certificates</a>","#menu-item-1354 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/supporting-a-healthy-lifestyle/\">Supporting a Healthy Lifestyle</a>","#menu-item-321 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/test-results/\">Test Results</a>","#menu-item-2726 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/vaccinations/\">Vaccinations</a>","#menu-item-396 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/anti-coagulation/\">Warfarin</a>","#menu-item-1705 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/practice-services/womens-health/\">Women’s Health</a>","#menu-item-196 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.36:1. Recommendation: change background to #a03400.","error","<a href=\"https://roxbournemc.com/prescriptions/\">Prescriptions</a>","#menu-main-menu-1 > li:nth-child(6) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/prescriptions/\">Prescriptions</a>","#menu-main-menu-1 > li:nth-child(6) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/prescriptions/community-pharmacy/\">Community Pharmacy</a>","#menu-item-2719 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/prescriptions/repeat-prescriptions/\">Repeat Prescriptions</a>","#menu-item-2259 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/prescriptions/prescription-costs/\">Prescription Costs</a>","#menu-item-800 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/prescriptions/prescribing-wisely-as-gordon-house/\">Prescribing Wisely</a>","#menu-item-2301 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://roxbournemc.com/prescriptions/private-prescriptions/\">Private Prescriptions</a>","#menu-item-804 > a"
