"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Addington Medical Centre</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\" style=\"height: 100%;\"><!-- InstanceBegin template=\"/T...</html>","html"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table width=\"100%\" border=\"0\" cellpadding=\"2\" cellspacing=\"2\">\n  <tbody><tr>\n    <td width=\"1...</table>","html > body > table:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.nhs.uk\" target=\"_blank\"><img src=\"images/NHS.JPG\" alt=\"...</a>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(2) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"http://www.nhs.uk\" target=\"_blank\"><img src=\"images/NHS.JPG\" alt=\"...</a>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"images/NHS.JPG\" alt=\"NHS_web-site\" width=\"104\" height=\"42\" border=\"0\">","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(2) > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/NHS.JPG\" alt=\"NHS_web-site\" width=\"104\" height=\"42\" border=\"0\">","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(2) > a > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"center\"><span class=\"style14 style43 st...</div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(3) > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<span class=\"style14 style43 style78\">Addington Medical Centre</span>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(3) > div > span"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table width=\"100%\" border=\"0\" cellspacing=\"2\" cellpadding=\"2\">\n      <tbody><tr>\n        <td ...</table>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"right\" class=\"style57\">          Dr Andrew Painter </div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(1) > td > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div align=\"right\" class=\"style57\">          Dr Andrew Painter </div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(1) > td > div"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"right\" class=\"style57\">          Dr Minoti Patel </div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(2) > td > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div align=\"right\" class=\"style57\">          Dr Minoti Patel </div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(2) > td > div"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"right\" class=\"style57\">          Dr Gareth Dee </div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(3) > td > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div align=\"right\" class=\"style57\">          Dr Gareth Dee </div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(3) > td > div"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"right\"><span class=\"style57\">Dr Ayodel...</div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(4) > td > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"style57\">Dr Ayodele Awe</span>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(4) > td > div > span"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<div align=\"right\">Dr Haider Zaidi</div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(5) > td > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div align=\"right\">Dr Haider Zaidi</div>","html > body > table:nth-child(1) > tbody > tr:nth-child(1) > td:nth-child(4) > table > tbody > tr:nth-child(5) > td > div"
