"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Carlton House Surgery | GP Surg...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<a class=\"home-link\" href=\"https://www.carltonhousesurgery.co.uk/\" title=\"Carlton House Surgery\" rel=\"home\">Carlton House Surgery</a>","#header_name > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"home-link\" href=\"https://www.carltonhousesurgery.co.uk/\" title=\"Carlton House Surgery\" rel=\"home\">Carlton House Surgery</a>","#header_name > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<div id=\"header_address\">\n\t\t\t\t\t\t28 Tenniswood Road, Enfi...</div>","#header_address"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<p>Tel: <strong>0208 370 4900</str...</p>","#header-information > p"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<strong>0208 370 4900</strong>","#header-information > p > strong:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<strong>111<br>\n</strong>","#header-information > p > strong:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.83:1. Recommendation: change background to #005b9f.","error","<a href=\"https://www.carltonhousesurgery.co.uk/\">Home</a>","#menu-item-37 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.carltonhousesurgery.co.uk/\">Home</a>","#menu-item-37 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.83:1. Recommendation: change text colour to #005b9f.","error","<a href=\"https://www.carltonhousesurgery.co.uk/appointments/\">Appointments</a>","#menu-item-40 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.carltonhousesurgery.co.uk/appointments/\">Appointments</a>","#menu-item-40 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.83:1. Recommendation: change text colour to #005b9f.","error","<a href=\"https://www.carltonhousesurgery.co.uk/prescriptions/\">Prescriptions</a>","#menu-item-48 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.carltonhousesurgery.co.uk/prescriptions/\">Prescriptions</a>","#menu-item-48 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.83:1. Recommendation: change text colour to #005b9f.","error","<a href=\"https://www.carltonhousesurgery.co.uk/new-patients/\">New Patients</a>","#menu-item-46 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.carltonhousesurgery.co.uk/new-patients/\">New Patients</a>","#menu-item-46 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.83:1. Recommendation: change text colour to #005b9f.","error","<a href=\"https://www.carltonhousesurgery.co.uk/staff/\">Staff</a>","#menu-item-52 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.carltonhousesurgery.co.uk/staff/\">Staff</a>","#menu-item-52 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.83:1. Recommendation: change text colour to #005b9f.","error","<a href=\"https://www.carltonhousesurgery.co.uk/services/\">Services</a>","#menu-item-53 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.carltonhousesurgery.co.uk/services/\">Services</a>","#menu-item-53 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.83:1. Recommendation: change text colour to #005b9f.","error","<a href=\"https://www.carltonhousesurgery.co.uk/about-us/\">About Us</a>","#menu-item-38 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.carltonhousesurgery.co.uk/about-us/\">About Us</a>","#menu-item-38 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.83:1. Recommendation: change text colour to #005b9f.","error","<a href=\"https://www.carltonhousesurgery.co.uk/patient-group/\">Patient Group</a>","#menu-item-47 > a"
