"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title itemprop=\"name\">West Green Surgery GP NHS Docto...</title>","html > head > title"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div role=\"button\" class=\"U26fgb mUbCce fKz7Od h3nfre\" jscontroller=\"VXdfxd\" jsaction=\"click:cOuCgd; mousedown:UX7yZ; mouseup:lbsD7e; mouseenter:tfO1Yc; mouseleave:JywGue; focus:AHmuwe; blur:O22p3e; contextmenu:mg9Pef;touchstart:p6p2H; touchmove:FwuN...","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div role=\"button\" class=\"U26fgb mUbCce fKz7Od i3PoXe\" jscontroller=\"VXdfxd\" jsaction=\"click:cOuCgd; mousedown:UX7yZ; mouseup:lbsD7e; mouseenter:tfO1Yc; mouseleave:JywGue; focus:AHmuwe; blur:O22p3e; contextmenu:mg9Pef;touchstart:p6p2H; touchmove:FwuN...","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > span:nth-child(1) > div:nth-child(1)"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div role=\"button\" class=\"U26fgb mUbCce fKz7Od JyJRXe\" jscontroller=\"VXdfxd\" jsaction=\"click:cOuCgd; mousedown:UX7yZ; mouseup:lbsD7e; mouseenter:tfO1Yc; mouseleave:JywGue; focus:AHmuwe; blur:O22p3e; contextmenu:mg9Pef;touchstart:p6p2H; touchmove:FwuN...","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > span:nth-child(1) > div:nth-child(3)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"search\" class=\"whsOnd zHQkBf\" jsname=\"YPqjbf\" autocomplete=\"off\" tabindex=\"0\" aria-label=\"搜索此网站\" value=\"\" autofocus=\"\" role=\"combobox\" data-initial-value=\"\">","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > div:nth-child(2) > input"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div role=\"button\" class=\"U26fgb mUbCce fKz7Od Kk06A\" jscontroller=\"VXdfxd\" jsaction=\"click:cOuCgd; mousedown:UX7yZ; mouseup:lbsD7e; mouseenter:tfO1Yc; mouseleave:JywGue; focus:AHmuwe; blur:O22p3e; contextmenu:mg9Pef;touchstart:p6p2H; touchmove:FwuNn...","#yDmH0d > div:nth-child(1) > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > span:nth-child(3) > div"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Div.Name","This element has a role of \"button\" but does not have a name available to an accessibility API. Valid names are: element content.","error","<div class=\"DXsoRd YTv4We Mz8gvb\" role=\"button\" tabindex=\"0\" jsaction=\"click:LUvzV\" jsname=\"z4Tpl\" id=\"s9iPrd\" aria-haspopup=\"true\" aria-controls=\"yuynLe\" aria-expanded=\"false\" title=\"显示边栏\"><svg class=\"wFCWne\" viewBox=\"0 ...</div>","#s9iPrd"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a class=\"XMyrgf\" href=\"/home\"><img src=\"https://lh3.googleuse...</a>","#yuynLe > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"XMyrgf\" href=\"/home\"><img src=\"https://lh3.googleuse...</a>","#yuynLe > a:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H2.EG4","Img element inside a link has empty or missing alt text when a link beside it contains link text. Consider combining the links.","error","<img src=\"https://lh3.googleusercontent.com/g7dmpLKhVdjOeXPE5blvgyj7AViuE6jocSl0BVJKir4oQNmNEwkcHNs3Hy6xtPTUJB2a6VZm_w=w16383\" class=\"r9CsCb\" role=\"img\" aria-label=\"网站首页\">","#yuynLe > a:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://lh3.googleusercontent.com/g7dmpLKhVdjOeXPE5blvgyj7AViuE6jocSl0BVJKir4oQNmNEwkcHNs3Hy6xtPTUJB2a6VZm_w=w16383\" class=\"r9CsCb\" role=\"img\" aria-label=\"网站首页\">","#yuynLe > a:nth-child(1) > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"Zjiec\" href=\"/home\"><span>West Green Surgery GP NHS...</a>","#yuynLe > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb dk90Ob hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"0\" href=\"/home\" data-url=\"/home\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"1\">Home</a>","#yuynLe > ul > li:nth-child(1) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb dk90Ob hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" aria-expanded=\"false\" aria-haspopup=\"true\" href=\"/appointments\" data-url=\"/appointments\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"1\">Appointments<...","#yuynLe > ul > li:nth-child(2) > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/appointments/book-an-appointment\" data-url=\"/appointments/book-an-appointment\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Book an Appointment</a>","#yuynLe > ul > li:nth-child(2) > div:nth-child(2) > ul > li:nth-child(1) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/appointments/sick-notes-meds-forms-other\" data-url=\"/appointments/sick-notes-meds-forms-other\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Sick no...","#yuynLe > ul > li:nth-child(2) > div:nth-child(2) > ul > li:nth-child(2) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/appointments/late-or-weekend-gp-appointments\" data-url=\"/appointments/late-or-weekend-gp-appointments\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\"...","#yuynLe > ul > li:nth-child(2) > div:nth-child(2) > ul > li:nth-child(3) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/appointments/cancel-appointment\" data-url=\"/appointments/cancel-appointment\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Cancel appointment</a>","#yuynLe > ul > li:nth-child(2) > div:nth-child(2) > ul > li:nth-child(4) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/appointments/hospital-appointments\" data-url=\"/appointments/hospital-appointments\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Hospital appointmen...","#yuynLe > ul > li:nth-child(2) > div:nth-child(2) > ul > li:nth-child(5) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/appointments/if-the-surgery-is-closed\" data-url=\"/appointments/if-the-surgery-is-closed\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">If the surger...","#yuynLe > ul > li:nth-child(2) > div:nth-child(2) > ul > li:nth-child(6) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb dk90Ob hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" aria-selected=\"true\" href=\"/registration\" data-url=\"/registration\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"1\">Registration</a>","#yuynLe > ul > li:nth-child(3) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb dk90Ob hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/awards\" data-url=\"/awards\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"1\">Awards</a>","#yuynLe > ul > li:nth-child(4) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb dk90Ob hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" aria-expanded=\"false\" aria-haspopup=\"true\" href=\"/self-refer\" data-url=\"/self-refer\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"1\">Self-Refer</a>","#yuynLe > ul > li:nth-child(5) > div:nth-child(1) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/self-refer/physiotherapy\" data-url=\"/self-refer/physiotherapy\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Physiotherapy</a>","#yuynLe > ul > li:nth-child(5) > div:nth-child(2) > ul > li:nth-child(1) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/self-refer/counselling\" data-url=\"/self-refer/counselling\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Counselling</a>","#yuynLe > ul > li:nth-child(5) > div:nth-child(2) > ul > li:nth-child(2) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/self-refer/sexual-health\" data-url=\"/self-refer/sexual-health\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Sexual Health</a>","#yuynLe > ul > li:nth-child(5) > div:nth-child(2) > ul > li:nth-child(3) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/self-refer/coils-implants-emergency-contraception\" data-url=\"/self-refer/coils-implants-emergency-contraception\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data...","#yuynLe > ul > li:nth-child(5) > div:nth-child(2) > ul > li:nth-child(4) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/self-refer/maternity-services\" data-url=\"/self-refer/maternity-services\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Maternity services</a>","#yuynLe > ul > li:nth-child(5) > div:nth-child(2) > ul > li:nth-child(5) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/self-refer/early-pregnancy-unit\" data-url=\"/self-refer/early-pregnancy-unit\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Early pregnancy unit</a>","#yuynLe > ul > li:nth-child(5) > div:nth-child(2) > ul > li:nth-child(6) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/self-refer/stop-smoking\" data-url=\"/self-refer/stop-smoking\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Stop smoking</a>","#yuynLe > ul > li:nth-child(5) > div:nth-child(2) > ul > li:nth-child(7) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"aJHbb hDrhEe HlqNPb\" jsname=\"QwLHlb\" role=\"link\" tabindex=\"-1\" href=\"/self-refer/alcohol-drugs-support\" data-url=\"/self-refer/alcohol-drugs-support\" data-type=\"1\" jsaction=\"keydown:mPuKz; click:vHQTA;\" data-level=\"2\">Alcohol &amp; Drugs sup...","#yuynLe > ul > li:nth-child(5) > div:nth-child(2) > ul > li:nth-child(8) > div > div > a"
