"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home new - putneysurgery</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"switcher-popup glink nturl notranslate\" onclick=\"openGTPopup(this)\"><img src=\"//webexpertise.us/put...</a>","html > body > header > div:nth-child(1) > div > div:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"//webexpertise.us/putneysurgery/wp-content/plugins/gtranslate/flags/24/en.png\" height=\"24\" width=\"24\" alt=\"en\">","html > body > header > div:nth-child(1) > div > div:nth-child(2) > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"//webexpertise.us/putneysurgery/wp-content/plugins/gtranslate/flags/24/en.png\" height=\"24\" width=\"24\" alt=\"en\">","html > body > header > div:nth-child(1) > div > div:nth-child(2) > a > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span style=\"color:#666;font-size:8px;font-weight:bold;\">▼</span>","html > body > header > div:nth-child(1) > div > div:nth-child(2) > a > span:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.74:1. Recommendation: change text colour to #595959.","error","<span style=\"color:#666;font-size:8px;font-weight:bold;\">▼</span>","html > body > header > div:nth-child(1) > div > div:nth-child(2) > a > span:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span onclick=\"closeGTPopup()\" style=\"position:absolute;right:2px;top:2px;font-weight:bold;font-size:12px;cursor:pointer;color:#444;font-family:cursive;\">X</span>","#gt_lightbox > div:nth-child(1) > span"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<span onclick=\"closeGTPopup()\" style=\"position:absolute;right:2px;top:2px;font-weight:bold;font-size:12px;cursor:pointer;color:#444;font-family:cursive;\">X</span>","#gt_lightbox > div:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div class=\"gt_languages\">\n<a href=\"#\" onclick=\"changeGTL...</div>","#gt_lightbox > div:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" onclick=\"changeGTLanguage('en|af', this);return false;\" title=\"Afrikaans\" class=\"glink nturl\"><img data-gt-lazy-src=\"//webexp...</a>","#gt_lightbox > div:nth-child(2) > a:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img data-gt-lazy-src=\"//webexpertise.us/putneysurgery/wp-content/plugins/gtranslate/flags/24/af.png\" height=\"24\" width=\"24\" alt=\"af\">","#gt_lightbox > div:nth-child(2) > a:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img data-gt-lazy-src=\"//webexpertise.us/putneysurgery/wp-content/plugins/gtranslate/flags/24/af.png\" height=\"24\" width=\"24\" alt=\"af\">","#gt_lightbox > div:nth-child(2) > a:nth-child(1) > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" onclick=\"changeGTLanguage('en|sq', this);return false;\" title=\"Albanian\" class=\"glink nturl\"><img data-gt-lazy-src=\"//webexp...</a>","#gt_lightbox > div:nth-child(2) > a:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img data-gt-lazy-src=\"//webexpertise.us/putneysurgery/wp-content/plugins/gtranslate/flags/24/sq.png\" height=\"24\" width=\"24\" alt=\"sq\">","#gt_lightbox > div:nth-child(2) > a:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img data-gt-lazy-src=\"//webexpertise.us/putneysurgery/wp-content/plugins/gtranslate/flags/24/sq.png\" height=\"24\" width=\"24\" alt=\"sq\">","#gt_lightbox > div:nth-child(2) > a:nth-child(2) > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" onclick=\"changeGTLanguage('en|am', this);return false;\" title=\"Amharic\" class=\"glink nturl\"><img data-gt-lazy-src=\"//webexp...</a>","#gt_lightbox > div:nth-child(2) > a:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img data-gt-lazy-src=\"//webexpertise.us/putneysurgery/wp-content/plugins/gtranslate/flags/24/am.png\" height=\"24\" width=\"24\" alt=\"am\">","#gt_lightbox > div:nth-child(2) > a:nth-child(3) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img data-gt-lazy-src=\"//webexpertise.us/putneysurgery/wp-content/plugins/gtranslate/flags/24/am.png\" height=\"24\" width=\"24\" alt=\"am\">","#gt_lightbox > div:nth-child(2) > a:nth-child(3) > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" onclick=\"changeGTLanguage('en|ar', this);return false;\" title=\"Arabic\" class=\"glink nturl\"><img data-gt-lazy-src=\"//webexp...</a>","#gt_lightbox > div:nth-child(2) > a:nth-child(4)"
