"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home - Chartfield Surgery NHS a...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.2a","Link element is missing a non-empty rel attribute identifying the link type.","error","<link href=\"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600,300italic,600italic,700,700italic,800' rel='stylesheet\" type=\"text/css\">","html > head > link:nth-child(65)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"https://www.chartfieldsurgery.co.uk\" class=\"logo\"><img src=\"https://www.chartfiel...</a>","html > body > div:nth-child(1) > header > div > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk\" class=\"logo\"><img src=\"https://www.chartfiel...</a>","html > body > div:nth-child(1) > header > div > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.chartfieldsurgery.co.uk/wp-content/uploads/2015/11/logo.png\" alt=\"\">","html > body > div:nth-child(1) > header > div > div:nth-child(1) > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"https://www.chartfieldsurgery.co.uk\"><img src=\"https://www.chartfiel...</a>","html > body > div:nth-child(1) > header > div > div:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk\"><img src=\"https://www.chartfiel...</a>","html > body > div:nth-child(1) > header > div > div:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"https://www.chartfieldsurgery.co.uk/wp-content/uploads/2015/11/blank1.png\" alt=\"\">","html > body > div:nth-child(1) > header > div > div:nth-child(2) > a > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span>30 Chartfield Avenue, Putney, S...</span>","#header-add > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a id=\"tel\" href=\"tel:020 8788 3252\">020 8788 3252</a>","#tel"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a id=\"tel\" href=\"tel:020 8788 3252\">020 8788 3252</a>","#tel"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"#\" class=\"lines-button x2\"></a>","html > body > div:nth-child(1) > div > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"lines-button x2\"></a>","html > body > div:nth-child(1) > div > div > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.89:1. Recommendation: change background to #006365.","error","<a href=\"https://www.chartfieldsurgery.co.uk/\" aria-current=\"page\">Home</a>","#menu-item-37 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/\" aria-current=\"page\">Home</a>","#menu-item-37 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/the-practice/\">The Practice</a>","#menu-item-442 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/services/\">SERVICES</a>","#menu-item-44 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/appointments/\">APPOINTMENTS</a>","#menu-item-38 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/prescriptions/\">PRESCRIPTIONS</a>","#menu-item-42 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/new-patients/\">NEW PATIENTS</a>","#menu-item-41 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/contact/\">CONTACT</a>","#menu-item-39 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/travel-clinic/\">TRAVEL CLINIC</a>","#menu-item-46 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.chartfieldsurgery.co.uk/private/\">PRIVATE</a>","#menu-item-43 > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h3 element appears to be the primary document heading, so should be an h1 element.","error","<h3>Welcome to&nbsp;Chartfield Surg...</h3>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > h3"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.96:1. Recommendation: change text colour to #0d0d0d.","error","<span style=\"line-height: 1.5;\">We are a long established Putne...</span>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(2) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.96:1. Recommendation: change text colour to #0d0d0d.","error","<p>Our aim is to be at the forefro...</p>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.96:1. Recommendation: change text colour to #0d0d0d.","error","<p><strong><span style=\"color: #00...</p>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span style=\"color: #008000;\">Chartfield is a certified Parkr...</span>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(4) > strong > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.92:1. Recommendation: change text colour to #001000.","error","<span style=\"color: #008000;\">Chartfield is a certified Parkr...</span>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(4) > strong > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<a style=\"color: #0000ff;\" href=\"https://www.parkrun.org.uk/wimbledon/\">here</a>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a style=\"color: #0000ff;\" href=\"https://www.parkrun.org.uk/wimbledon/\">here</a>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(4) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.96:1. Recommendation: change text colour to #0d0d0d.","error","<p>We would love to hear from you ...</p>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(5)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span style=\"color: #0000ff; text-decoration: underline;\"><a style=\"color: #0000ff; text-...</span>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(5) > span > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<a style=\"color: #0000ff; text-decoration: underline;\" href=\"https://www.chartfieldsurgery.co.uk/feedback/\">here</a>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(5) > span > span > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a style=\"color: #0000ff; text-decoration: underline;\" href=\"https://www.chartfieldsurgery.co.uk/feedback/\">here</a>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(1) > p:nth-child(5) > span > span > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"/images/s1_pin_left.png\" alt=\"\">","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(2) > div > div:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/images/s1_pin_left.png\" alt=\"\">","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(2) > div > div:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"/images/s1_pin_right.png\" alt=\"\">","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(2) > div > div:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/images/s1_pin_right.png\" alt=\"\">","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(2) > div > div:nth-child(2) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.96:1. Recommendation: change text colour to #0d0d0d.","error","<li>Phone lines open weekdays 8am -...</li>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(2) > div > div:nth-child(3) > ul > li:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.96:1. Recommendation: change text colour to #0d0d0d.","error","<div class=\"day\">Monday</div>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(2) > div > div:nth-child(3) > ul > li:nth-child(3) > div:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.96:1. Recommendation: change text colour to #0d0d0d.","error","<div class=\"time\">7:00am-1:00pm, 2:00pm-8:30pm</div>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(2) > div > div:nth-child(3) > ul > li:nth-child(3) > div:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.96:1. Recommendation: change text colour to #0d0d0d.","error","<div class=\"day\">Tuesday</div>","html > body > div:nth-child(1) > section:nth-child(3) > div > div:nth-child(2) > div > div:nth-child(3) > ul > li:nth-child(4) > div:nth-child(1)"
