"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Knights Hill Surgery </title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button type=\"button\" class=\"navbar-toggle collapsed\" data-toggle=\"collapse\" data-target=\"#menu\" aria-expanded=\"false\">\n\t\t\t\t\t\t\t\t<span class=\"sr-only\">...</button>","html > body > div:nth-child(2) > div > div:nth-child(2) > div > nav > div:nth-child(1) > button"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.knightshillsurgery.nhs.uk\">Home</a>","#menu > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.knightshillsurgery.nhs.uk/travel-health-questionnaire/\">Travel Health Questionnaire</a>","#menu > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.knightshillsurgery.nhs.uk/new-patients/\">New Patients</a>","#menu > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.knightshillsurgery.nhs.uk/new-patients/registration/\">Registration</a>","#menu > ul > li:nth-child(3) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.knightshillsurgery.nhs.uk/new-patients/non-english-speakers/\">Non-English Speakers</a>","#menu > ul > li:nth-child(3) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.knightshillsurgery.nhs.uk/new-patients/temporary-registration/\">Temporary Registration</a>","#menu > ul > li:nth-child(3) > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.knightshillsurgery.nhs.uk/appointments/\">Appointments</a>","#menu > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.knightshillsurgery.nhs.uk/appointments/travel-vaccinations/\">Travel Vaccinations</a>","#menu > ul > li:nth-child(4) > ul > li:nth-child(1) > a"
