"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>London Road Medical Practice</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":1.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:1.container"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.londonroadmedicalpractice.nhs.uk/\" title=\"London Road Medical Practice\" rel=\"home\">     London Road Medical Practi...</a>","#logo > h1 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.58:1. Recommendation: change background to #0057ae.","error","<p class=\"description\">Cavendish House </p>","#logo > p"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.londonroadmedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.londonroadmedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.londonroadmedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.londonroadmedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form method=\"get\" id=\"searchform\" class=\"searchform\" action=\"http://www.londonroadmedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#searchform"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<input name=\"s\" id=\"s\" class=\"searchfield\" type=\"text\" value=\"Search...\" onfocus=\"if (this.value == 'Search...') {this.value = '';}\" onblur=\"if (this.value == '') {this.value = 'Search...';}\" style=\"color: rgb(0, 0, 0);\">","#s"
