"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home - Becontree M C</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div id=\"pageContent\" class=\"pageContent\">\n    <div class=\"master_f_dWptG...</div>","#pageContent"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">Tel:&nbsp;0844 4778681</span>","#pageContent > div:nth-child(1) > p:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">Fax:&nbsp;0870 8902581</span>","#pageContent > div:nth-child(1) > p:nth-child(2) > span"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"/communities/8/004/010/788/788//images/4590540937_348x164.png\" alt=\"BMC Logo\" class=\"master_fQrukGPnASUVdR9NbmRbC\">","#pageContent > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/communities/8/004/010/788/788//images/4590540937_348x164.png\" alt=\"BMC Logo\" class=\"master_fQrukGPnASUVdR9NbmRbC\">","#pageContent > img:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/home/4565374610\" class=\"menuItemDesign\"><span>Home</span></a>","#pageContent > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.68:1. Recommendation: change background to #006178.","error","<span>Home</span>","#pageContent > ul > li:nth-child(1) > a > span"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/information/4565374611\" class=\"menuItemDesign\"><span>Information</span></a>","#pageContent > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #515151.","error","<span>Information</span>","#pageContent > ul > li:nth-child(2) > a > span"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/prescriptions/4565374616\" class=\"menuItemDesign\"><span>Prescriptions</span></a>","#pageContent > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #515151.","error","<span>Prescriptions</span>","#pageContent > ul > li:nth-child(3) > a > span"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/staff/4565374612\" class=\"menuItemDesign\"><span>Staff</span></a>","#pageContent > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #515151.","error","<span>Staff</span>","#pageContent > ul > li:nth-child(4) > a > span"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/appointments/4565374613\" class=\"menuItemDesign\"><span>Appointments</span></a>","#pageContent > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #515151.","error","<span>Appointments</span>","#pageContent > ul > li:nth-child(5) > a > span"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/contact/4565374614\" class=\"menuItemDesign\"><span>Contact</span></a>","#pageContent > ul > li:nth-child(6) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 1.88:1. Recommendation: change text colour to #515151.","error","<span>Contact</span>","#pageContent > ul > li:nth-child(6) > a > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","warning","<span class=\"c0\">Register with us today!</span>","#pageContent > div:nth-child(4) > h1:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","error","<h1 class=\"p1\">\n\t              \n<span class=\"c...</h1>","#pageContent > div:nth-child(4) > h1:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","error","<h1 class=\"p2\">\n\t              \n<span class=\"c...</h1>","#pageContent > div:nth-child(4) > h1:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">Welcome to our website!</span>","#pageContent > div:nth-child(5) > p:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">We have developed this website ...</span>","#pageContent > div:nth-child(5) > p:nth-child(2) > span:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"/contact/4565374614\" target=\"_self\">email</a>","#pageContent > div:nth-child(5) > p:nth-child(2) > span:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/contact/4565374614\" target=\"_self\">email</a>","#pageContent > div:nth-child(5) > p:nth-child(2) > span:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c2\">&nbsp;or contact us.</span>","#pageContent > div:nth-child(5) > p:nth-child(2) > span:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img class=\"line page_home_fL5VBIWNabax2aOYP5wUq\" src=\"/_imgstore/8/4010788788/page_home_fL5VBIWNabax2aOYP5wUq/rxkFIEivkY8YV5u5jmL6NTBTwQA.png\">","#pageContent > img:nth-child(6)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"line page_home_fL5VBIWNabax2aOYP5wUq\" src=\"/_imgstore/8/4010788788/page_home_fL5VBIWNabax2aOYP5wUq/rxkFIEivkY8YV5u5jmL6NTBTwQA.png\">","#pageContent > img:nth-child(6)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">Update your contact details</span>","#pageContent > div:nth-child(7) > h1 > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">In order to cause any un-necess...</span>","#pageContent > div:nth-child(8) > p > span:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"/contact-details/4574382715\" target=\"_self\">click here</a>","#pageContent > div:nth-child(8) > p > span:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/contact-details/4574382715\" target=\"_self\">click here</a>","#pageContent > div:nth-child(8) > p > span:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"/contact-details/4574382715\" target=\"_self\"> to update details if they have...</a>","#pageContent > div:nth-child(8) > p > span:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/contact-details/4574382715\" target=\"_self\"> to update details if they have...</a>","#pageContent > div:nth-child(8) > p > span:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img class=\"line page_home_fTJjP9sRPOqEYykHEMHXy\" src=\"/_imgstore/8/4010788788/page_home_fTJjP9sRPOqEYykHEMHXy/QY-yNtjezxbNDki3q2d_QnXhPTo.png\">","#pageContent > img:nth-child(9)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"line page_home_fTJjP9sRPOqEYykHEMHXy\" src=\"/_imgstore/8/4010788788/page_home_fTJjP9sRPOqEYykHEMHXy/QY-yNtjezxbNDki3q2d_QnXhPTo.png\">","#pageContent > img:nth-child(9)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://maps.google.co.uk/maps?hl=en&amp;biw=1440&amp;bih=703&amp;bav=on.2,or.r_qf.&amp;wrapid=tlif136309268129610&amp;q=641-645+becontree+avenue&amp;um=1&amp;ie=UTF-8&amp;hq=&amp;hnear=0x47d8a4ff81423c1b:0xcec0f04d4e38d610,641-645+Becontree+...","#pageContent > a:nth-child(10)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"http://maps.google.co.uk/maps?hl=en&amp;biw=1440&amp;bih=703&amp;bav=on.2,or.r_qf.&amp;wrapid=tlif136309268129610&amp;q=641-645+becontree+avenue&amp;um=1&amp;ie=UTF-8&amp;hq=&amp;hnear=0x47d8a4ff81423c1b:0xcec0f04d4e38d610,641-645+Becontree+...","#pageContent > a:nth-child(10)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"/communities/8/004/010/788/788//images/4588695638.gif\" alt=\"MAP\" class=\"page_home_fY6pyNcEELV_hgM1G8Yxp\">","#pageContent > a:nth-child(10) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/communities/8/004/010/788/788//images/4588695638.gif\" alt=\"MAP\" class=\"page_home_fY6pyNcEELV_hgM1G8Yxp\">","#pageContent > a:nth-child(10) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">General Opening Hours</span>","#pageContent > div:nth-child(11) > h1 > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">Monday, Tuesday, Thursday - 8am...</span>","#pageContent > div:nth-child(12) > p:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">Wednesday - 8am to 6:30pm</span>","#pageContent > div:nth-child(12) > p:nth-child(3) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"c0\">Friday - 8am to 7pm</span>","#pageContent > div:nth-child(12) > p:nth-child(5) > span"
