"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>ICO Health Group – Medical Doct...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a id=\"pojo-a11y-skip-content\" class=\"pojo-skip-link pojo-skip-content\" tabindex=\"1\" accesskey=\"s\" href=\"#content\">Skip to content</a>","#pojo-a11y-skip-content"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"pojo-a11y-toolbar-link pojo-a11y-toolbar-toggle-link\" href=\"javascript:void(0);\" title=\"Accessibility Tools\">\n\t\t\t\t\t<span class=\"pojo-sr-only...</a>","#pojo-a11y-toolbar > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","warning","<span class=\"pojo-sr-only sr-only\">Open toolbar</span>","#pojo-a11y-toolbar > div:nth-child(1) > a > span"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"pojo-a11y-toolbar-link pojo-a11y-btn-resize-font pojo-a11y-btn-resize-plus\" data-action=\"resize-plus\" data-action-group=\"resize\" tabindex=\"-1\">\n\t\t\t\t\t\t\t\t\t<span class=\"pojo-a11...</a>","#pojo-a11y-toolbar > div:nth-child(2) > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"pojo-a11y-toolbar-link pojo-a11y-btn-resize-font pojo-a11y-btn-resize-minus\" data-action=\"resize-minus\" data-action-group=\"resize\" tabindex=\"-1\">\n\t\t\t\t\t\t\t\t\t<span class=\"pojo-a11...</a>","#pojo-a11y-toolbar > div:nth-child(2) > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"pojo-a11y-toolbar-link pojo-a11y-btn-background-group pojo-a11y-btn-grayscale\" data-action=\"grayscale\" data-action-group=\"schema\" tabindex=\"-1\">\n\t\t\t\t\t\t\t\t\t<span class=\"pojo-a11...</a>","#pojo-a11y-toolbar > div:nth-child(2) > div > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"pojo-a11y-toolbar-link pojo-a11y-btn-background-group pojo-a11y-btn-high-contrast\" data-action=\"high-contrast\" data-action-group=\"schema\" tabindex=\"-1\">\n\t\t\t\t\t\t\t\t\t<span class=\"pojo-a11...</a>","#pojo-a11y-toolbar > div:nth-child(2) > div > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"pojo-a11y-toolbar-link pojo-a11y-btn-background-group pojo-a11y-btn-negative-contrast\" data-action=\"negative-contrast\" data-action-group=\"schema\" tabindex=\"-1\">\n\n\t\t\t\t\t\t\t\t<span class=\"pojo-a11...</a>","#pojo-a11y-toolbar > div:nth-child(2) > div > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"pojo-a11y-toolbar-link pojo-a11y-btn-background-group pojo-a11y-btn-light-background\" data-action=\"light-background\" data-action-group=\"schema\" tabindex=\"-1\">\n\t\t\t\t\t\t\t\t\t<span class=\"pojo-a11...</a>","#pojo-a11y-toolbar > div:nth-child(2) > div > ul > li:nth-child(6) > a"
