"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Highland Medical Practice - NHS...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":2.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:2.container"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table id=\"header\">\n\t\t\t<tbody><tr>\n\t\t\t\t<td id=\"log...</table>","#header"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/\">\n\t\t<img src=\"/uploads/1/2/7/6/1...</a>","#logo > span > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"/uploads/1/2/7/6/12764906/1411766946.png\" alt=\"Highland Medical Practice - NHS GP/ Doctors' Surgery in Bromley &amp; Orpington\">","#logo > span > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/uploads/1/2/7/6/12764906/1411766946.png\" alt=\"Highland Medical Practice - NHS GP/ Doctors' Surgery in Bromley &amp; Orpington\">","#logo > span > a > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table>\n\t\t\t\t\t\t<tbody><tr>\n\t\t\t\t\t\t\t<td c...</table>","#header-right > table"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.64:1. Recommendation: change text colour to #595959.","error","<span class=\"wsite-text wsite-phone\">\n\tBromley GP: 020-8460-2368<br>...</span>","#header-right > table > tbody > tr > td:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.74:1. Recommendation: change text colour to #515151.","error","<a href=\"/\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\t\t\t\tWelcome\n\t\t\t\t\t\t</a>","#active > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\t\t\t\tWelcome\n\t\t\t\t\t\t</a>","#active > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/opening-times.html\" class=\"wsite-menu-item\" style=\"position: relative;\">\n\t\t\t\t\t\t\tOpening Times\n\t\t\t\t\t\t</a>","#pg848783171673071603 > a"
