"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Google</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body bgcolor=\"#fff\"><script nonce=\"q20+E8TZJjrB3+JX...</body>","html > body"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"gb1\" href=\"http://www.google.co.uk/imghp?hl=zh-CN&amp;tab=wi\">图片</a>","#gbar > nobr > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"gb1\" href=\"http://maps.google.co.uk/maps?hl=zh-CN&amp;tab=wl\">地图</a>","#gbar > nobr > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"gb1\" href=\"https://play.google.com/?hl=zh-CN&amp;tab=w8\">Play</a>","#gbar > nobr > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"gb1\" href=\"http://www.youtube.com/?gl=GB&amp;tab=w1\">YouTube</a>","#gbar > nobr > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"gb1\" href=\"https://mail.google.com/mail/?tab=wm\">Gmail</a>","#gbar > nobr > a:nth-child(6)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"gb1\" href=\"https://drive.google.com/?tab=wo\">云端硬盘</a>","#gbar > nobr > a:nth-child(7)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"gb1\" href=\"https://www.google.com/calendar?tab=wc\">日历</a>","#gbar > nobr > a:nth-child(8)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"gb1\" style=\"text-decoration:none\" href=\"https://www.google.co.uk/intl/zh-CN/about/products?tab=wh\"><u>更多</u> »</a>","#gbar > nobr > a:nth-child(9)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.google.co.uk/history/optout?hl=zh-CN\" class=\"gb4\">网络历史记录</a>","#guser > nobr > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/preferences?hl=zh-CN\" class=\"gb4\">设置</a>","#guser > nobr > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a target=\"_top\" id=\"gb_70\" href=\"https://accounts.google.com/ServiceLogin?hl=zh-CN&amp;passive=true&amp;continue=http://www.google.com/\" class=\"gb4\">登录</a>","#gb_70"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Center","Presentational markup used that has become obsolete in HTML5.","error","<center><br clear=\"all\" id=\"lgpd\"><div ...</center>","html > body > center"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img alt=\"Google\" height=\"92\" src=\"/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png\" style=\"padding:28px 0 14px\" width=\"272\" id=\"hplogo\">","#hplogo"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img alt=\"Google\" height=\"92\" src=\"/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png\" style=\"padding:28px 0 14px\" width=\"272\" id=\"hplogo\">","#hplogo"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"/search\" name=\"f\"><table cellpadding=\"0\" cellspac...</form>","html > body > center > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"/search\" name=\"f\"><table cellpadding=\"0\" cellspac...</form>","html > body > center > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"/search\" name=\"f\"><table cellpadding=\"0\" cellspac...</form>","html > body > center > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"/search\" name=\"f\"><table cellpadding=\"0\" cellspac...</form>","html > body > center > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"/search\" name=\"f\"><table cellpadding=\"0\" cellspac...</form>","html > body > center > form"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table cellpadding=\"0\" cellspacing=\"0\"><tbody><tr valign=\"top\"><td wid...</table>","html > body > center > form > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","error","<td align=\"center\" nowrap=\"\"><input name=\"ie\" value=\"GB2312\"...</td>","html > body > center > form > table > tbody > tr > td:nth-child(2)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input name=\"ie\" value=\"GB2312\" type=\"hidden\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > input:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input value=\"zh-CN\" name=\"hl\" type=\"hidden\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > input:nth-child(2)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input name=\"source\" type=\"hidden\" value=\"hp\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > input:nth-child(3)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input name=\"biw\" type=\"hidden\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > input:nth-child(4)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input name=\"bih\" type=\"hidden\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > input:nth-child(5)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<input style=\"color: rgb(0, 0, 0); margin: 0px; padding: 5px 8px 0px 6px; vertical-align: top; outline: none;\" autocomplete=\"off\" class=\"lst\" value=\"\" title=\"Google 搜索\" maxlength=\"2048\" name=\"q\" size=\"57\" dir=\"ltr\" spellcheck=\"false\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > div > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input style=\"color: rgb(0, 0, 0); margin: 0px; padding: 5px 8px 0px 6px; vertical-align: top; outline: none;\" autocomplete=\"off\" class=\"lst\" value=\"\" title=\"Google 搜索\" maxlength=\"2048\" name=\"q\" size=\"57\" dir=\"ltr\" spellcheck=\"false\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > div > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input class=\"lsb\" value=\"Google 搜索\" name=\"btnG\" type=\"submit\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > span:nth-child(8) > span > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input class=\"lsb\" value=\"&nbsp;手气不错&nbsp;\" name=\"btnI\" onclick=\"if(this.form.q.value)this.checked=1; else top.location='/doodles/'\" type=\"submit\">","html > body > center > form > table > tbody > tr > td:nth-child(2) > span:nth-child(9) > span > input"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","error","<td class=\"fl sblc\" align=\"left\" nowrap=\"\" width=\"25%\"><a href=\"/advanced_search?hl=zh...</td>","html > body > center > form > table > tbody > tr > td:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.37:1. Recommendation: change text colour to #2053b9.","error","<a href=\"/advanced_search?hl=zh-CN&amp;authuser=0\">高级搜索</a>","html > body > center > form > table > tbody > tr > td:nth-child(3) > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/advanced_search?hl=zh-CN&amp;authuser=0\">高级搜索</a>","html > body > center > form > table > tbody > tr > td:nth-child(3) > a:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.37:1. Recommendation: change text colour to #2053b9.","error","<a href=\"/language_tools?hl=zh-CN&amp;authuser=0\">语言工具</a>","html > body > center > form > table > tbody > tr > td:nth-child(3) > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/language_tools?hl=zh-CN&amp;authuser=0\">语言工具</a>","html > body > center > form > table > tbody > tr > td:nth-child(3) > a:nth-child(2)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input id=\"gbv\" name=\"gbv\" type=\"hidden\" value=\"2\">","#gbv"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"oq\">","html > body > center > form > input:nth-child(4)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"gs_l\">","html > body > center > form > input:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.google.com/setprefs?sig=0_789173DZzsAGV49fsG10gqEYVkA%3D&amp;hl=en&amp;source=homepage&amp;sa=X&amp;ved=0ahUKEwiu96Tp1bDjAhV75OAKHfg7Bg4Q2ZgBCAU\">English</a>","#SIvCob > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div style=\"margin:19px auto;text-align:center\" id=\"fll\"><a href=\"/intl/zh-CN/ads/\">加入营销...</div>","#fll"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/intl/zh-CN/ads/\">加入营销计划</a>","#fll > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/intl/zh-CN/about.html\">Google 大全</a>","#fll > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.google.com/setprefdomain?prefdom=GB&amp;prev=http://www.google.co.uk/&amp;sig=K_VNCxrRz-gtEDUniXWu_nBouek5g%3D\">Google.co.uk</a>","#fll > a:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<p style=\"color:#767676;font-size:8pt\">© 2019 - <a href=\"/intl/zh-CN/p...</p>","#footer > p"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.54:1. Recommendation: change text colour to #595959.","error","<p style=\"color:#767676;font-size:8pt\">© 2019 - <a href=\"/intl/zh-CN/p...</p>","#footer > p"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<p style=\"color:#767676;font-size:8pt\">© 2019 - <a href=\"/intl/zh-CN/p...</p>","#footer > p"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/intl/zh-CN/policies/privacy/\">隐私权</a>","#footer > p > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/intl/zh-CN/policies/terms/\">条款</a>","#footer > p > a:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table cellspacing=\"0\" cellpadding=\"0\" class=\"gstl_0 gssb_c\" style=\"width: 510px; display: none; top: 232px; left: 257px; position: absolute;\"><tbody><tr><td class=\"gssb_f\"><...</table>","html > body > table"
