"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Home | Vale Medical Group</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","warning","<img src=\"images/large_logo_3.png\" alt=\"\" class=\"img-responsive\">","html > body > div:nth-child(1) > div > div:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/large_logo_3.png\" alt=\"\" class=\"img-responsive\">","html > body > div:nth-child(1) > div > div:nth-child(1) > img"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"search_results.php\" method=\"GET\" class=\"navbar-form pull-right\">\n      <input type=\"text\" name=...</form>","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"search_results.php\" method=\"GET\" class=\"navbar-form pull-right\">\n      <input type=\"text\" name=...</form>","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"search_results.php\" method=\"GET\" class=\"navbar-form pull-right\">\n      <input type=\"text\" name=...</form>","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"search_results.php\" method=\"GET\" class=\"navbar-form pull-right\">\n      <input type=\"text\" name=...</form>","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"search_results.php\" method=\"GET\" class=\"navbar-form pull-right\">\n      <input type=\"text\" name=...</form>","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input type=\"text\" name=\"zoom_query\" size=\"10'\">","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form > input:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","error","<input type=\"text\" name=\"zoom_query\" size=\"10'\">","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form > input:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"text\" name=\"zoom_query\" size=\"10'\">","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form > input:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"submit\" class=\"btn btn-primary btn-xs\" value=\"Search\">","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > form > input:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.25:1. Recommendation: change text colour to #005e8e.","error","<h1 class=\"page_title\">Home</h1>","html > body > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(2) > h1"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a class=\"hidden-md hidden-sm hidden-lg\" href=\"index.php\"><img src=\"images/small_logo.png...</a>","html > body > nav > div > div:nth-child(1) > div > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"hidden-md hidden-sm hidden-lg\" href=\"index.php\"><img src=\"images/small_logo.png...</a>","html > body > nav > div > div:nth-child(1) > div > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/small_logo.png\" alt=\"\" class=\"img-responsive\">","html > body > nav > div > div:nth-child(1) > div > div:nth-child(1) > a > img"
