"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Cuckfield Medical Practice</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.95:1. Recommendation: change text colour to #00568f.","error","<a class=\"skip-link sr-only sr-only-focusable\" href=\"#content\">Skip to content</a>","#wrapper-navbar > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"skip-link sr-only sr-only-focusable\" href=\"#content\">Skip to content</a>","#wrapper-navbar > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.cuckfieldmedicalpractice.co.uk/\" class=\"navbar-brand custom-logo-link\" rel=\"home\"><img width=\"355\" height=\"60\" sr...</a>","#wrapper-navbar > nav > div > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img width=\"355\" height=\"60\" src=\"https://www.cuckfieldmedicalpractice.co.uk/wp-content/uploads/2019/01/cuckfield-logo-long-small.png\" class=\"img-fluid\" alt=\"Cuckfield Medical Practice\" srcset=\"https://www.cuckfieldmedicalpractice.co.uk/wp-content/up...","#wrapper-navbar > nav > div > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img width=\"355\" height=\"60\" src=\"https://www.cuckfieldmedicalpractice.co.uk/wp-content/uploads/2019/01/cuckfield-logo-long-small.png\" class=\"img-fluid\" alt=\"Cuckfield Medical Practice\" srcset=\"https://www.cuckfieldmedicalpractice.co.uk/wp-content/up...","#wrapper-navbar > nav > div > a > img"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"navbar-toggler\" type=\"button\" data-toggle=\"collapse\" data-target=\"#navbarNavDropdown\" aria-controls=\"navbarNavDropdown\" aria-expanded=\"false\" aria-label=\"Toggle navigation\">\n\t\t\t\t\t<span class=\"navbar-toggl...</button>","#wrapper-navbar > nav > div > button"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.3:1. Recommendation: change background to #055c95.","error","<a title=\"Home\" href=\"https://www.cuckfieldmedicalpractice.co.uk/\" class=\"nav-link\">Home</a>","#menu-item-1015 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Home\" href=\"https://www.cuckfieldmedicalpractice.co.uk/\" class=\"nav-link\">Home</a>","#menu-item-1015 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.3:1. Recommendation: change background to #055c95.","error","<a title=\"Health Advice\" href=\"https://www.cuckfieldmedicalpractice.co.uk/health-advice/\" class=\"nav-link\">Health Advice</a>","#menu-item-822 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Health Advice\" href=\"https://www.cuckfieldmedicalpractice.co.uk/health-advice/\" class=\"nav-link\">Health Advice</a>","#menu-item-822 > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h2 element appears to be the primary document heading, so should be an h1 element.","error","<h2>I Want To...</h2>","#online-services > h2"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.3:1. Recommendation: change background to #055c95.","error","<a class=\"btn btn-primary\" href=\"/online-services?mode=book\">Book or Cancel an Appointment</a>","#online-services > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"btn btn-primary\" href=\"/online-services?mode=book\">Book or Cancel an Appointment</a>","#online-services > a:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.87:1. Recommendation: change background to #00672c.","error","<a class=\"btn btn-secondary\" href=\"/online-services?mode=order\">Order a Repeat Prescription</a>","#online-services > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"btn btn-secondary\" href=\"/online-services?mode=order\">Order a Repeat Prescription</a>","#online-services > a:nth-child(3)"
