"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Dolphins Practice, GP and Nurse...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\"><head><script type=\"text/javasc...</html>","html"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table width=\"100%\" border=\"0\" cellspacing=\"0\" cellpadding=\"0\">\n  <tbody><tr class=\"headerbgco...</table>","html > body > table:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<td align=\"center\">\n<link href=\"css/site_styles.cs...</td>","html > body > table:nth-child(1) > tbody > tr > td"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link href=\"css/site_styles.css\" rel=\"stylesheet\" type=\"text/css\">","html > body > table:nth-child(1) > tbody > tr > td > link"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table id=\"header\" width=\"1000\" border=\"0\" cellpadding=\"0\" cellspacing=\"0\" class=\"header-bg\">\n  <tbody><tr>\n    <td height=\"...</table>","#header"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<td height=\"126\" align=\"right\" valign=\"bottom\"><form action=\"ss.shtml\" class=\"...</td>","#header > tbody > tr > td"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"ss.shtml\" class=\"googlesearchpadding\">\n         <label> <input name=\"...</form>","#header > tbody > tr > td > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"ss.shtml\" class=\"googlesearchpadding\">\n         <label> <input name=\"...</form>","#header > tbody > tr > td > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"ss.shtml\" class=\"googlesearchpadding\">\n         <label> <input name=\"...</form>","#header > tbody > tr > td > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"ss.shtml\" class=\"googlesearchpadding\">\n         <label> <input name=\"...</form>","#header > tbody > tr > td > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"ss.shtml\" class=\"googlesearchpadding\">\n         <label> <input name=\"...</form>","#header > tbody > tr > td > form"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input name=\"s\" type=\"text\" class=\"searchbox\" size=\"22\">","#header > tbody > tr > td > form > label > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"submit\" class=\"searchbutton\" value=\"search\">","#header > tbody > tr > td > form > input"
