"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Edenbridge Medical Practice</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html class=\" js rgba multiplebgs backgroundsize borderradius boxshadow textshadow cssgradients fontface js rgba multiplebgs backgroundsize borderradius boxshadow textshadow cssgradients fontface js\" style=\"\"><!--<![endif]--><head>\n<meta ht...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<a href=\"http://www.edenbridgemedicalpractice.nhs.uk\">Edenbridge Medical Practice</a>","#container > header > h1 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.edenbridgemedicalpractice.nhs.uk\">Edenbridge Medical Practice</a>","#container > header > h1 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<address>Committed to the People of Eden...</address>","#container > header > address:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<p class=\"second-tagline\">Station Road, Edenbridge, Kent ...</p>","#container > header > p:nth-child(4)"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form method=\"get\" id=\"search-form\" action=\"http://www.edenbridgemedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#search-form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form method=\"get\" id=\"search-form\" action=\"http://www.edenbridgemedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#search-form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form method=\"get\" id=\"search-form\" action=\"http://www.edenbridgemedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#search-form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form method=\"get\" id=\"search-form\" action=\"http://www.edenbridgemedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#search-form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form method=\"get\" id=\"search-form\" action=\"http://www.edenbridgemedicalpractice.nhs.uk/\">\n\t<input name=\"s\" id=\"s\" class=...</form>","#search-form"
