"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Homepage - Liphook &amp; Liss S...</title>","html > head > title"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"trademark\" href=\"http://www.liphookandlisssurgery.co.uk/\">\n\t\t\t\t\t<img src=\"http://www.liph...</a>","html > body > header > div:nth-child(1) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://www.liphookandlisssurgery.co.uk/wp-content/uploads/2013/05/liphook-liss-logo.png\" alt=\"logo\">","html > body > header > div:nth-child(1) > div:nth-child(1) > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://www.liphookandlisssurgery.co.uk/wp-content/uploads/2013/05/liphook-liss-logo.png\" alt=\"logo\">","html > body > header > div:nth-child(1) > div:nth-child(1) > a > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"/wp-content/uploads/2013/07/here-to-support-fixed.png\" alt=\"Here to support you\">","html > body > header > div:nth-child(1) > div:nth-child(1) > div > div > div > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"/wp-content/uploads/2013/07/here-to-support-fixed.png\" alt=\"Here to support you\">","html > body > header > div:nth-child(1) > div:nth-child(1) > div > div > div > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 3.83:1. Recommendation: change background to #225a9a.","error","<a href=\"http://www.liphookandlisssurgery.co.uk/\">Home</a>","#menu-item-660 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/\">Home</a>","#menu-item-660 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/\">Surgery Info</a>","#menu-item-716 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/\">Surgery Info</a>","#menu-item-716 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/about-us/\">About Us</a>","#menu-item-724 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/access-to-records/\">Access to Records</a>","#menu-item-830 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/accessible-information/\">Accessible Information</a>","#menu-item-2237 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/named-accountable-gp-patients/\">Accountable GP for all Patients</a>","#menu-item-2042 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/care-quality-commission/\">Care Quality Commission</a>","#menu-item-1783 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/change-of-details/\">Change of Details</a>","#menu-item-829 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/clinical-research/\">Clinical Research</a>","#menu-item-2223 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/complaints-and-suggestions/\">Complaints and Suggestions</a>","#menu-item-822 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/confidentiality-data-sharing/\">Confidentiality &amp; Data Shar...</a>","#menu-item-852 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/e-consult/\">E Consult</a>","#menu-item-2298 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/emergencies/\">Emergencies</a>","#menu-item-826 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/flu-vaccination-programme/\">Flu Vaccines</a>","#menu-item-2593 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/freedom-of-information/\">Freedom of Information</a>","#menu-item-1697 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/friends-family-test/\">Friends &amp; Family Test</a>","#menu-item-1941 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/fair-processing-notice/\">Privacy Notice</a>","#menu-item-2423 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/private-fees/\">Private Fees</a>","#menu-item-824 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/surgery-info/test-and-results/\">Test and Results</a>","#menu-item-823 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"http://www.liphookandlisssurgery.co.uk/appointments/\">Appointments</a>","#menu-item-699 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/appointments/\">Appointments</a>","#menu-item-699 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/appointments/appointments-online/\">Appointments Online</a>","#menu-item-819 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/appointments/urgent-appointments/\">Urgent Appointments</a>","#menu-item-818 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/appointments/home-visits/\">Home Visits</a>","#menu-item-817 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/appointments/telephone-consultations/\">Telephone Consultations</a>","#menu-item-816 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/appointments/out-of-hours-emergencies/\">Out of Hours</a>","#menu-item-815 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"http://www.liphookandlisssurgery.co.uk/prescriptions/\">Prescriptions</a>","#menu-item-754 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/prescriptions/\">Prescriptions</a>","#menu-item-754 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/prescriptions/dispensary/\">Dispensary</a>","#menu-item-820 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/prescriptions/on-line-prescriptions/\">On-Line Prescriptions</a>","#menu-item-821 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<a href=\"http://www.liphookandlisssurgery.co.uk/useful-info/\">Useful Info</a>","#menu-item-814 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://www.liphookandlisssurgery.co.uk/useful-info/\">Useful Info</a>","#menu-item-814 > a"
