"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Bulbanks Medical Centre : NHS G...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","error","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"#\" data-target=\"#siteSearchTop\" class=\"searchButton clickSubmit\"><i class=\"fa fa-search\"></i></a>","#siteSearchTop > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" data-target=\"#siteSearchTop\" class=\"searchButton clickSubmit\"><i class=\"fa fa-search\"></i></a>","#siteSearchTop > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input type=\"text\" name=\"q\" value=\"\" placeholder=\"Search\">","#siteSearchTop > input"
