"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Twin Oaks Medical Centre and Pa...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html class=\" js touch csstransforms3d csstransitions no-video   js\"><!--<![endif]--><head>\n\t\t<meta ...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div id=\"header\" class=\"sticky clearfix\" style=\"background-color:rgba(204,255,204,1);\">\n\t\t\t\n\t\t\t<div style=\"background-...</div>","#header"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h6 element appears to be the primary document heading, so should be an h1 element.","error","<h6><a href=\"contact.php\" style=\"co...</h6>","#header > div > div > ul > li:nth-child(3) > h6"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<a href=\"contact.php\" style=\"color:#ff0;\">CONTACT US</a>","#header > div > div > ul > li:nth-child(3) > h6 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.74:1. Recommendation: change text colour to #ffffbf.","error","<a href=\"contact.php\" style=\"color:#ff0;\">CONTACT US</a>","#header > div > div > ul > li:nth-child(3) > h6 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"contact.php\" style=\"color:#ff0;\">CONTACT US</a>","#header > div > div > ul > li:nth-child(3) > h6 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<a href=\"ooh.php\" style=\"color:#ff0;\">OUT OF HOURS</a>","#header > div > div > ul > li:nth-child(5) > h6 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.74:1. Recommendation: change text colour to #ffffbf.","error","<a href=\"ooh.php\" style=\"color:#ff0;\">OUT OF HOURS</a>","#header > div > div > ul > li:nth-child(5) > h6 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"ooh.php\" style=\"color:#ff0;\">OUT OF HOURS</a>","#header > div > div > ul > li:nth-child(5) > h6 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<a href=\"contact.php\" style=\"color:#ff0;\">FIND US</a>","#header > div > div > ul > li:nth-child(7) > h6 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.74:1. Recommendation: change text colour to #ffffbf.","error","<a href=\"contact.php\" style=\"color:#ff0;\">FIND US</a>","#header > div > div > ul > li:nth-child(7) > h6 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"contact.php\" style=\"color:#ff0;\">FIND US</a>","#header > div > div > ul > li:nth-child(7) > h6 > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","warning","<div class=\"full-container\">\n\n\t\t\t\t\t\t<!-- Mobile Menu Button...</div>","#topNav > div"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title attribute, element content, aria-label attribute, aria-labelledby attribute.","error","<button class=\"btn btn-mobile\" data-toggle=\"collapse\" data-target=\".nav-main-collapse\">\n\t\t\t\t\t\t\t<i class=\"fa fa-bars\"><...</button>","#topNav > div > button"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"btn btn-mobile\" data-toggle=\"collapse\" data-target=\".nav-main-collapse\">\n\t\t\t\t\t\t\t<i class=\"fa fa-bars\"><...</button>","#topNav > div > button"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"javascript:;\">\n\t\t\t\t\t\t\t\t\t<i class=\"fa fa-searc...</a>","#topNav > div > ul > li > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"javascript:;\">\n\t\t\t\t\t\t\t\t\t<i class=\"fa fa-searc...</a>","#topNav > div > ul > li > a"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"page-search-result-1.html\" method=\"get\">\n\t\t\t\t\t\t\t\t\t\t<div class=\"input-gr...</form>","#topNav > div > ul > li > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"page-search-result-1.html\" method=\"get\">\n\t\t\t\t\t\t\t\t\t\t<div class=\"input-gr...</form>","#topNav > div > ul > li > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"page-search-result-1.html\" method=\"get\">\n\t\t\t\t\t\t\t\t\t\t<div class=\"input-gr...</form>","#topNav > div > ul > li > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"page-search-result-1.html\" method=\"get\">\n\t\t\t\t\t\t\t\t\t\t<div class=\"input-gr...</form>","#topNav > div > ul > li > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"page-search-result-1.html\" method=\"get\">\n\t\t\t\t\t\t\t\t\t\t<div class=\"input-gr...</form>","#topNav > div > ul > li > div > form"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input type=\"text\" name=\"src\" placeholder=\"Search\" class=\"form-control\">","#topNav > div > ul > li > div > form > div > input"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","error","<input type=\"text\" name=\"src\" placeholder=\"Search\" class=\"form-control\">","#topNav > div > ul > li > div > form > div > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"text\" name=\"src\" placeholder=\"Search\" class=\"form-control\">","#topNav > div > ul > li > div > form > div > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"btn btn-primary\" type=\"submit\">Search</button>","#topNav > div > ul > li > div > form > div > span > button"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"pull-left visible-md visible-lg\" href=\"index.php\">\n\t\t\t\t\t\t\t<img src=\"assets/images...</a>","#topNav > div > a:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"assets/images/large_logo.png\" class=\"img-responsive visible-lg\">","#topNav > div > a:nth-child(3) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H2.EG3","Img element inside a link must not use alt text that duplicates the content of a text link beside it.","error","<img src=\"assets/images/large_logo.png\" class=\"img-responsive visible-lg\">","#topNav > div > a:nth-child(3) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"assets/images/large_logo.png\" class=\"img-responsive visible-lg\">","#topNav > div > a:nth-child(3) > img:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"assets/images/medium_logo.png\" class=\"img-responsive visible-md\">","#topNav > div > a:nth-child(3) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H2.EG3","Img element inside a link must not use alt text that duplicates the content of a text link beside it.","error","<img src=\"assets/images/medium_logo.png\" class=\"img-responsive visible-md\">","#topNav > div > a:nth-child(3) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"assets/images/medium_logo.png\" class=\"img-responsive visible-md\">","#topNav > div > a:nth-child(3) > img:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a class=\"pull-left visible-sm visible-xs\" href=\"index.php\">\n\t\t\t\t\t\t\t<img src=\"assets/images...</a>","#topNav > div > a:nth-child(4)"
