"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl","A title should be provided for the document, using a non-empty title element in the head section.","error","<head><script async=\"\" src=\"https://g...</head>","html > head"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns=\"http://www.w3.org/1999/xhtml\"><head><script async=\"\" src=\"htt...</html>","html"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b>Warning</b>","html > body > b:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b>/var/sites/p/porteshamsurgery.c...</b>","html > body > b:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b>17</b>","html > body > b:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"pingback\" href=\"http://porteshamsurgery.co.uk/xmlrpc.php\">","html > body > link:nth-child(8)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"SHORTCUT ICON\" href=\"http://porteshamsurgery.co.uk/wp-content/themes/comet/favicon.ico\">","html > body > link:nth-child(9)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"icon\" type=\"image/vnd.microsoft.icon\" href=\"http://porteshamsurgery.co.uk/wp-content/themes/comet/favicon.ico\">","html > body > link:nth-child(10)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"stylesheet\" href=\"http://porteshamsurgery.co.uk/wp-content/themes/comet/style.css\" type=\"text/css\" media=\"all\">","html > body > link:nth-child(11)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"stylesheet\" href=\"http://porteshamsurgery.co.uk/wp-content/themes/comet/print.css\" type=\"text/css\" media=\"print\">","html > body > link:nth-child(12)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"stylesheet\" href=\"http://porteshamsurgery.co.uk/wp-content/themes/comet/_green.css\" type=\"text/css\">","html > body > link:nth-child(13)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"dns-prefetch\" href=\"//platform-api.sharethis.com\">","html > body > link:nth-child(15)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"dns-prefetch\" href=\"//s.w.org\">","html > body > link:nth-child(16)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"alternate\" type=\"application/rss+xml\" title=\"Portesham Surgery » Feed\" href=\"http://porteshamsurgery.co.uk/feed/\">","html > body > link:nth-child(17)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"alternate\" type=\"application/rss+xml\" title=\"Portesham Surgery » Comments Feed\" href=\"http://porteshamsurgery.co.uk/comments/feed/\">","html > body > link:nth-child(18)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"stylesheet\" id=\"contact-form-7-css\" href=\"http://porteshamsurgery.co.uk/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9.2\" type=\"text/css\" media=\"all\">","#contact-form-7-css"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"https://api.w.org/\" href=\"http://porteshamsurgery.co.uk/wp-json/\">","html > body > link:nth-child(25)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"EditURI\" type=\"application/rsd+xml\" title=\"RSD\" href=\"http://porteshamsurgery.co.uk/xmlrpc.php?rsd\">","html > body > link:nth-child(26)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"wlwmanifest\" type=\"application/wlwmanifest+xml\" href=\"http://porteshamsurgery.co.uk/wp-includes/wlwmanifest.xml\">","html > body > link:nth-child(27)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"canonical\" href=\"http://porteshamsurgery.co.uk/\">","html > body > link:nth-child(29)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"shortlink\" href=\"http://porteshamsurgery.co.uk/\">","html > body > link:nth-child(30)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"alternate\" type=\"application/json+oembed\" href=\"http://porteshamsurgery.co.uk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fporteshamsurgery.co.uk%2F\">","html > body > link:nth-child(31)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1","Link elements can only be located in the head section of the document.","error","<link rel=\"alternate\" type=\"text/xml+oembed\" href=\"http://porteshamsurgery.co.uk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fporteshamsurgery.co.uk%2F&amp;format=xml\">","html > body > link:nth-child(32)"
