"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Harcourt Medical Centre - GP Pr...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html><head>\n\n<meta http-equiv=\"Conte...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<body style=\"background:url(images/bg.jpg) top left repeat-x;background-color:#fff;\" onload=\"dw_Rotator.start()\">\n\n<div class=\"logo\" style=\"posi...</body>","html > body"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div class=\"logo\" style=\"position:absolute;left:50%;top:33px;margin-left:-420px;width:285px;height:117px;z-index:99;background-color:transparent;border:0px\">\n\t<img src=\"images/logo.jpg\">\n</div>","html > body > div:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img src=\"images/logo.jpg\">","html > body > div:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/logo.jpg\">","html > body > div:nth-child(1) > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div class=\"leaflet\" style=\"position:absolute;left:50%;top:375px;margin-left:240px;width:250px;height:120px;z-index:99;background-color:transparent;border:0px\">\n\t<a href=\"/pdf/Harcourt%20leaf...</div>","html > body > div:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"/pdf/Harcourt%20leaflet%20v2.pdf\" target=\"_blank\"><img src=\"images/practice_leafl...</a>","html > body > div:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/pdf/Harcourt%20leaflet%20v2.pdf\" target=\"_blank\"><img src=\"images/practice_leafl...</a>","html > body > div:nth-child(2) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3","Check that this link's link text contains information indicating that the link will open in a new window.","warning","<a href=\"/pdf/Harcourt%20leaflet%20v2.pdf\" target=\"_blank\"><img src=\"images/practice_leafl...</a>","html > body > div:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/practice_leaflet.png\">","html > body > div:nth-child(2) > a > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div class=\"mainmenu\" style=\"z-index:4;position:absolute;left:50%;top:28px;margin-left:200px;width:273px;height:273px;background-color:transparent;background-image:url(images/bg_menu.png);border:0px\"></div>","html > body > div:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","warning","<div class=\"mainmenu2\" style=\"z-index:5;position:absolute;left:50%;top:28px;margin-left:200px;width:273px;height:273px;background-color:transparent;\">\n\t<div class=\"navbar\"><ul>\n    ...</div>","html > body > div:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"Services.asp?title=Our Services&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">Our Services</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"Services.asp?title=Our Services&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">Our Services</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"Staff.asp?title=Meet the Doctors&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">Meet the Doctors</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"Staff.asp?title=Meet the Doctors&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">Meet the Doctors</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 6.82:1. Recommendation: change text colour to #181465.","error","<a href=\"REGISTER.asp?title=REGISTER WITH US&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">REGISTER WITH US</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"REGISTER.asp?title=REGISTER WITH US&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">REGISTER WITH US</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"newsdefault.asp?title=Our Latest News&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">Our Latest News</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"newsdefault.asp?title=Our Latest News&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">Our Latest News</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"Advice.asp?title=Need Our Advice?&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">Need Our Advice?</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"Advice.asp?title=Need Our Advice?&amp;keepThis=true&amp;TB_iframe=true&amp;height=450&amp;width=780\">Need Our Advice?</a>","html > body > div:nth-child(4) > div > ul > li:nth-child(5) > a"
