"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Welcome</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.13:1. Recommendation: change background to #1c54b3.","error","<span data-id=\"alert-1\" class=\"active\">1</span>","#alert-navigation > span:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.49:1. Recommendation: change text colour to #454545.","error","<span data-id=\"alert-2\">2</span>","#alert-navigation > span:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<p><strong>From 1<sup>st</sup>&nbs...</p>","#alert-content > div:nth-child(3) > div:nth-child(2) > p:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://www.castlegateandderwentsurgery.nhs.uk/media/content/files/Ear%20wax%20leaflet%20May%202019.pdf\">'Ear Wax- self help guide' avai...</a>","#alert-content > div:nth-child(3) > div:nth-child(2) > p:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<p><strong>If you have ear symptom...</p>","#alert-content > div:nth-child(3) > div:nth-child(2) > p:nth-child(5)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.13:1. Recommendation: change background to #1c54b3.","error","<span class=\"alert-consent-trigger\"><i class=\"fa fa-plus\"></i> <i c...</span>","#alert-consent > span"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" data-ids=\"33-31\" data-alert-off=\"14\" class=\"postfix black button\">Two weeks</a>","#alert-consent-buttons > div:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" data-ids=\"33-31\" data-alert-off=\"180\" class=\"postfix black button\">Six Months</a>","#alert-consent-buttons > div:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.54:1. Recommendation: change background to #a82713.","error","<span>Breaking News</span>","#app > div:nth-child(2) > div > div > div > div:nth-child(1) > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 2.79:1. Recommendation: change text colour to #fffdfd.","error","<a href=\"/news/alzheimers-society-at-the-surgery\">Alzheimer's society at the surg...</a>","#app > div:nth-child(2) > div > div > div > div:nth-child(2) > div:nth-child(1) > p:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/news/alzheimers-society-at-the-surgery\">Alzheimer's society at the surg...</a>","#app > div:nth-child(2) > div > div > div > div:nth-child(2) > div:nth-child(1) > p:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/news/friends-and-family-result-for-june-2019\">Friends and family result for J...</a>","#app > div:nth-child(2) > div > div > div > div:nth-child(2) > div:nth-child(1) > p:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/news/number-of-missed\">Number of missed appointments a...</a>","#app > div:nth-child(2) > div > div > div > div:nth-child(2) > div:nth-child(1) > p:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"/news/are-you-up-to-date-with-your-measles-mu\">Are you up to date with your me...</a>","#app > div:nth-child(2) > div > div > div > div:nth-child(2) > div:nth-child(1) > p:nth-child(4) > a"
"WCAG2AAA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","error","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form id=\"siteSearchTop\" method=\"get\" action=\"/search\"><a href=\"#\" data-target=\"#siteS...</form>","#siteSearchTop"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","error","<a href=\"#\" data-target=\"#siteSearchTop\" class=\"searchButton clickSubmit\"><i class=\"fa fa-search\"></i></a>","#siteSearchTop > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" data-target=\"#siteSearchTop\" class=\"searchButton clickSubmit\"><i class=\"fa fa-search\"></i></a>","#siteSearchTop > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute, aria-label attribute, aria-labelledby attribute.","error","<input type=\"text\" name=\"q\" value=\"\" placeholder=\"Search\">","#siteSearchTop > input"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","error","<input type=\"text\" name=\"q\" value=\"\" placeholder=\"Search\">","#siteSearchTop > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"text\" name=\"q\" value=\"\" placeholder=\"Search\">","#siteSearchTop > input"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" class=\"trigger translatorTrigger\"><i class=\"fa fa-language\"></i> ...</a>","#accessibilityWrapper > div > div:nth-child(2) > a"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Select.Value","This select element does not have an initially selected option. Depending on your HTML version, the value exposed to an accessibility API may be undefined.","warning","<select class=\"goog-te-combo\" aria-label=\"语言翻译微件\"></select>","#:0.targetLanguage > select"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H85.2","If this selection list contains groups of related options, they should be grouped with optgroup.","warning","<select class=\"goog-te-combo\" aria-label=\"语言翻译微件\"></select>","#:0.targetLanguage > select"
