"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Find Us</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html xmlns:v=\"urn:schemas-microsoft-com:vml\" xmlns:o=\"urn:schemas-microsoft-com:office:office\" xmlns:w=\"urn:schemas-microsoft-com:office:word\" xmlns:m=\"http://schemas.microsoft.com/office/2004/12/omml\" xmlns=\"http://www.w3.org/TR/REC-html40\"><head>\n...","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<body lang=\"EN-GB\" link=\"blue\" vlink=\"purple\" style=\"tab-interval:36.0pt\">\n\n\n\n<div class=\"WordSection1\">\n...</body>","html > body"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.LayoutTable","This table appears to be a layout table. If it is meant to instead be a data table, ensure header cells are identified using th elements.","notice","<table class=\"MsoNormalTable\" border=\"0\" cellspacing=\"0\" cellpadding=\"0\" width=\"643\" style=\"width:482.0pt;mso-cellspacing:0cm;margin-left:-7.1pt;mso-yfti-tbllook:\n\n 1184;mso-padding-alt:0cm 0cm 0cm 0cm\">\n\n <tbody><tr style=\"mso-yfti-i...</table>","html > body > div > table"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<p align=\"center\" style=\"text-align:center\"><span style=\"mso-no-proof:yes\">...</p>","html > body > div > table > tbody > tr:nth-child(1) > td:nth-child(1) > p"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img width=\"69\" height=\"68\" src=\"index_files/image003.jpg\" v:shapes=\"Picture_x0020_4\">","html > body > div > table > tbody > tr:nth-child(1) > td:nth-child(1) > p > span > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img width=\"69\" height=\"68\" src=\"index_files/image003.jpg\" v:shapes=\"Picture_x0020_4\">","html > body > div > table > tbody > tr:nth-child(1) > td:nth-child(1) > p > span > img"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<p class=\"MsoNormal\" align=\"right\" style=\"text-align:right\"><span style=\"mso-fareast-font-f...</p>","html > body > div > table > tbody > tr:nth-child(1) > td:nth-child(2) > p"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<p align=\"center\" style=\"text-align:center\"><b><i><u><span style=\"font-size...</p>","html > body > div > table > tbody > tr:nth-child(1) > td:nth-child(3) > p:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","warning","<p align=\"center\" style=\"text-align:center\"><b><i><u><span style=\"font-size...</p>","html > body > div > table > tbody > tr:nth-child(1) > td:nth-child(3) > p:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B","Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.","warning","<b><i><u><span style=\"font-size:\n\n...</b>","html > body > div > table > tbody > tr:nth-child(1) > td:nth-child(3) > p:nth-child(1) > b"
