"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Bedlingtonshire Medical Group</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.43:1. Recommendation: change text colour to #4b5a6f.","error","<noscript>&lt;iframe src=\"//www.googletag...</noscript>","html > body > noscript"
"WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title attribute, element content, aria-label attribute, aria-labelledby attribute.","error","<button class=\"menu-toggle\"></button>","#header-icons > div > div:nth-child(1) > button"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<button class=\"menu-toggle\"></button>","#header-icons > div > div:nth-child(1) > button"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form role=\"search\" method=\"get\" class=\"search-form\" action=\"http://bedlington-doctors.com/\"> <label> <span class=\"h4\">What ...</form>","#search-container > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form role=\"search\" method=\"get\" class=\"search-form\" action=\"http://bedlington-doctors.com/\"> <label> <span class=\"h4\">What ...</form>","#search-container > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form role=\"search\" method=\"get\" class=\"search-form\" action=\"http://bedlington-doctors.com/\"> <label> <span class=\"h4\">What ...</form>","#search-container > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form role=\"search\" method=\"get\" class=\"search-form\" action=\"http://bedlington-doctors.com/\"> <label> <span class=\"h4\">What ...</form>","#search-container > div > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form role=\"search\" method=\"get\" class=\"search-form\" action=\"http://bedlington-doctors.com/\"> <label> <span class=\"h4\">What ...</form>","#search-container > div > form"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change text colour to #005d95.","error","<span class=\"h4\">What are you looking for?</span>","#search-container > div > form > label > span"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"search\" class=\"search-field placeholder\" placeholder=\"Search the Site...\" value=\"\" name=\"s\" title=\"Search for:\">","#search-container > div > form > label > input"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"submit\" class=\"search-submit\" value=\"Search\">","#search-container > div > form > input"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","notice","<img src=\"http://bedlington-doctors.com/wp-content/themes/bedlington-doctors/library/images/logo.jpg\" alt=\"Bedlingtonshire Medical Group logo\">","#logo > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"http://bedlington-doctors.com/wp-content/themes/bedlington-doctors/library/images/logo.jpg\" alt=\"Bedlingtonshire Medical Group logo\">","#logo > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.43:1. Recommendation: change text colour to #4b5a6f.","error","<div id=\"contact-panel\" class=\"eightcol last\"> Phone:&nbsp;<strong>(01670)&nb...</div>","#contact-panel"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/\">Home</a>","#menu-item-59 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change background to #005d95.","error","<a href=\"http://bedlington-doctors.com/surgery-information/\">Surgery Information</a>","#menu-item-58 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/surgery-information/\">Surgery Information</a>","#menu-item-58 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/fair-processing-policy/\">Fair Processing Policy</a>","#menu-item-614 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change background to #005d95.","error","<a href=\"http://bedlington-doctors.com/appointment-information/\">Appointments</a>","#menu-item-83 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/appointment-information/\">Appointments</a>","#menu-item-83 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change background to #005d95.","error","<a href=\"http://bedlington-doctors.com/prescriptions/\">Prescriptions</a>","#menu-item-105 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/prescriptions/\">Prescriptions</a>","#menu-item-105 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change background to #005d95.","error","<a href=\"http://bedlington-doctors.com/clinics-and-services/\">Clinics</a>","#menu-item-86 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/clinics-and-services/\">Clinics</a>","#menu-item-86 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change background to #005d95.","error","<a href=\"http://bedlington-doctors.com/the-health-care-team/\">Staff</a>","#menu-item-101 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/the-health-care-team/\">Staff</a>","#menu-item-101 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change background to #005d95.","error","<a href=\"http://bedlington-doctors.com/new-patients/\">New Patients</a>","#menu-item-108 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/new-patients/\">New Patients</a>","#menu-item-108 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change background to #005d95.","error","<a href=\"http://bedlington-doctors.com/online-services/\">Online Services</a>","#menu-item-76 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/online-services/\">Online Services</a>","#menu-item-76 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change background to #005d95.","error","<a href=\"http://bedlington-doctors.com/patient-reference-group/\">Patient Group</a>","#menu-item-98 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/patient-reference-group/\">Patient Group</a>","#menu-item-98 > a"
"WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141","The heading structure is not logically nested. This h2 element appears to be the primary document heading, so should be an h1 element.","error","<h2>Latest News</h2>","#content > div:nth-child(1) > div > div > h2"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.43:1. Recommendation: change text colour to #4b5a6f.","error","<div class=\"threecol first\"><h3><a href=\"http://bedlington-...</div>","#content > div:nth-child(1) > div > div > div > div:nth-child(1)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change text colour to #005d95.","error","<a href=\"http://bedlington-doctors.com/self-care/\">Self Care Support</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(1) > h3 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/self-care/\">Self Care Support</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(1) > h3 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.43:1. Recommendation: change text colour to #4b5a6f.","error","<div class=\"threecol\"><h3><a href=\"http://bedlington-...</div>","#content > div:nth-child(1) > div > div > div > div:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change text colour to #005d95.","error","<a href=\"http://bedlington-doctors.com/care-navigation-what-it-means-to-you-as-a-patient/\">Care Navigation - What it means...</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(2) > h3 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/care-navigation-what-it-means-to-you-as-a-patient/\">Care Navigation - What it means...</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(2) > h3 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.43:1. Recommendation: change text colour to #4b5a6f.","error","<div class=\"threecol\"><h3><a href=\"http://bedlington-...</div>","#content > div:nth-child(1) > div > div > div > div:nth-child(3)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change text colour to #005d95.","error","<a href=\"http://bedlington-doctors.com/autumn-newsletter-2015/\">Practice Newsletters</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(3) > h3 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/autumn-newsletter-2015/\">Practice Newsletters</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(3) > h3 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 5.43:1. Recommendation: change text colour to #4b5a6f.","error","<div class=\"threecol\"><h3><a href=\"http://bedlington-...</div>","#content > div:nth-child(1) > div > div > div > div:nth-child(4)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change text colour to #005d95.","error","<a href=\"http://bedlington-doctors.com/friends-and-family-test/\">Friends and Family Test</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(4) > h3 > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"http://bedlington-doctors.com/friends-and-family-test/\">Friends and Family Test</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(4) > h3 > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.99:1. Recommendation: change text colour to #005d95.","error","<a href=\"http://bedlington-doctors.com/cqc-rate-practice-as-outstanding/\">CQC Outstanding</a>","#content > div:nth-child(1) > div > div > div > div:nth-child(5) > h3 > a"
